int	int	DTItemNum	int	int	int	int	int	int	int	int	int	string
1001048	48	2:35148	1	0	0	50	0	17	0	0	17	
1001049	49	2:35873	1	0	0	50	18	0	36	0	0	
1001050	50	2:36598	1	250	10	55	0	18	0	0	18	
1001051	51	2:37352	1	0	0	55	18	0	37	0	0	
1001052	52	2:38077	1	0	0	55	0	19	0	0	19	
1001053	53	2:38802	1	0	0	55	19	0	38	0	0	
1001054	54	2:39527	1	0	0	55	0	19	0	0	19	
1001055	55	2:40281	1	0	0	60	20	0	40	0	0	
1001056	56	2:41006	1	0	0	60	0	20	0	0	20	
1001057	57	2:41731	1	0	0	60	20	0	41	0	0	
1001058	58	2:42456	1	0	0	60	0	20	0	0	20	
1001059	59	2:43210	1	0	0	60	21	0	42	0	0	
1001060	60	2:87870	1	250	10	65	0	21	0	0	21	
1001061	61	2:89320	1	0	0	65	21	0	43	0	0	
1001062	62	2:90770	1	0	0	65	0	22	0	0	22	
1001063	63	2:92278	1	0	0	65	22	0	45	0	0	
1001064	64	2:93728	1	0	0	65	0	22	0	0	22	
1001065	65	2:95178	1	0	0	70	23	0	46	0	0	
1001066	66	2:96628	1	0	0	70	0	23	0	0	23	
1001067	67	2:98136	1	0	0	70	23	0	47	0	0	
1001068	68	2:99586	1	0	0	70	0	24	0	0	24	
1001069	69	2:101036	1	0	0	70	24	0	48	0	0	
1001070	70	2:102486	1	250	10	75	0	24	0	0	24	
1001071	71	2:103994	0	0	0	75	25	0	50	0	0	
1001072	72	2:105444	0	0	0	75	0	25	0	0	25	
1001073	73	2:106894	0	0	0	75	25	0	51	0	0	
1001074	74	2:108344	0	0	0	75	0	25	0	0	25	
1001075	75	2:109794	0	0	0	80	26	0	52	0	0	
1001076	76	2:111302	0	0	0	80	0	26	0	0	26	
1001077	77	2:112752	0	0	0	80	26	0	53	0	0	
1001078	78	2:114202	0	0	0	80	0	27	0	0	27	
1001079	79	2:115652	0	0	0	80	27	0	54	0	0	
1001080	80	2:175740	0	250	10	85	0	27	0	0	27	
1001081	81	2:177915	0	0	0	85	28	0	56	0	0	
1001082	82	2:180090	0	0	0	85	0	28	0	0	28	
1001083	83	2:182265	0	0	0	85	28	0	57	0	0	
1001084	84	2:184527	0	0	0	85	0	29	0	0	29	
1001085	85	2:186702	0	0	0	90	29	0	58	0	0	
1001086	86	2:188877	0	0	0	90	0	29	0	0	29	
1001087	87	2:191052	0	0	0	90	29	0	59	0	0	
1001088	88	2:193314	0	0	0	90	0	30	0	0	30	
1001089	89	2:195489	0	0	0	90	30	0	61	0	0	
1001090	90	2:197664	0	250	10	95	0	30	0	0	30	
1001091	91	2:199839	0	0	0	95	31	0	62	0	0	
1001092	92	2:202101	0	0	0	95	0	31	0	0	31	
1001093	93	2:204276	0	0	0	95	31	0	63	0	0	
1001094	94	2:206451	0	0	0	95	0	32	0	0	32	
1001095	95	2:208626	0	0	0	100	32	0	64	0	0	
1001096	96	2:210888	0	0	0	100	0	32	0	0	32	
1001097	97	2:213063	0	0	0	100	33	0	66	0	0	
1001098	98	2:215238	0	0	0	100	0	33	0	0	33	
1001099	99	2:217413	0	0	0	100	33	0	67	0	0	
1001100	100	2:292784	0	250	10	105	0	33	0	0	33	
1001101	101	2:295800	0	0	0	105	34	0	68	0	0	
1001102	102	2:298700	0	0	0	105	0	34	0	0	34	
1001103	103	2:301600	0	0	0	105	34	0	69	0	0	
1001104	104	2:304500	0	0	0	105	0	35	0	0	35	
1001105	105	2:307516	0	0	0	110	35	0	70	0	0	
1001106	106	2:310416	0	0	0	110	0	35	0	0	35	
1001107	107	2:313316	0	0	0	110	36	0	72	0	0	
1001108	108	2:316216	0	0	0	110	0	36	0	0	36	
1001109	109	2:319232	0	0	0	110	36	0	73	0	0	
1001110	110	2:322132	0	250	10	115	0	37	0	0	37	
1001111	111	2:325032	0	0	0	115	37	0	74	0	0	
1001112	112	2:327932	0	0	0	115	0	37	0	0	37	
1001113	113	2:330948	0	0	0	115	37	0	75	0	0	
1001114	114	2:333848	0	0	0	115	0	38	0	0	38	
1001115	115	2:336748	0	0	0	120	38	0	77	0	0	
1001116	116	2:339648	0	0	0	120	0	38	0	0	38	
1001117	117	2:342664	0	0	0	120	39	0	78	0	0	
1001118	118	2:345564	0	0	0	120	0	39	0	0	39	
1001119	119	2:348464	0	0	0	120	39	0	79	0	0	
1001120	120	2:439205	0	250	10	125	0	40	0	0	40	
1001121	121	2:442975	0	0	0	125	40	0	80	0	0	
1001122	122	2:446600	0	0	0	125	0	40	0	0	40	
1001123	123	2:450225	0	0	0	125	41	0	82	0	0	
1001124	124	2:453850	0	0	0	125	0	41	0	0	41	
1001125	125	2:457475	0	0	0	130	41	0	83	0	0	
1001126	126	2:461245	0	0	0	130	0	41	0	0	41	
1001127	127	2:464870	0	0	0	130	42	0	84	0	0	
1001128	128	2:468495	0	0	0	130	0	42	0	0	42	
1001129	129	2:472120	0	0	0	130	42	0	85	0	0	
1001130	130	2:475890	0	250	10	135	0	43	0	0	43	
1001131	131	2:479515	0	0	0	135	43	0	87	0	0	
1001132	132	2:483140	0	0	0	135	0	43	0	0	43	
1001133	133	2:486765	0	0	0	135	44	0	88	0	0	
1001134	134	2:490535	0	0	0	135	0	44	0	0	44	
1001135	135	2:494160	0	0	0	140	44	0	89	0	0	
1001136	136	2:497785	0	0	0	140	0	45	0	0	45	
1001137	137	2:501410	0	0	0	140	45	0	90	0	0	
1001138	138	2:505180	0	0	0	140	0	45	0	0	45	
1001139	139	2:508805	0	0	0	140	45	0	91	0	0	
1001140	140	2:614916	0	250	10	145	0	46	0	0	46	
1001141	141	2:619266	0	0	0	145	46	0	93	0	0	
1001142	142	2:623790	0	0	0	145	0	46	0	0	46	
1001143	143	2:628140	0	0	0	145	47	0	94	0	0	
1001144	144	2:632490	0	0	0	145	0	47	0	0	47	
1001145	145	2:636840	0	0	0	150	47	0	95	0	0	
1001146	146	2:641364	0	0	0	150	0	48	0	0	48	
1001147	147	2:645714	0	0	0	150	48	0	96	0	0	
1001148	148	2:650064	0	0	0	150	0	48	0	0	48	
1001149	149	2:654414	0	0	0	150	49	0	98	0	0	
1001150	150	2:658764	0	250	10	155	0	49	0	0	49	
1001151	151	2:663288	0	0	0	155	49	0	99	0	0	
1001152	152	2:667638	0	0	0	155	0	50	0	0	50	
1001153	153	2:671988	0	0	0	155	50	0	100	0	0	
1001154	154	2:676338	0	0	0	155	0	50	0	0	50	
1001155	155	2:680862	0	0	0	160	50	0	101	0	0	
1001156	156	2:685212	0	0	0	160	0	51	0	0	51	
1001157	157	2:689562	0	0	0	160	51	0	103	0	0	
1001158	158	2:693912	0	0	0	160	0	51	0	0	51	
1001159	159	2:698436	0	0	0	160	52	0	104	0	0	
1001160	160	2:819917	0	250	10	165	0	52	0	0	52	
1001161	161	2:824992	0	0	0	165	52	0	105	0	0	
1001162	162	2:830067	0	0	0	165	0	53	0	0	53	
1001163	163	2:835345	0	0	0	165	53	0	106	0	0	
1001164	164	2:840420	0	0	0	165	0	53	0	0	53	
1001165	165	2:845495	0	0	0	170	54	0	108	0	0	
1001166	166	2:850570	0	0	0	170	0	54	0	0	54	
1001167	167	2:855848	0	0	0	170	54	0	109	0	0	
1001168	168	2:860923	0	0	0	170	0	54	0	0	54	
1001169	169	2:865998	0	0	0	170	55	0	110	0	0	
1001170	170	2:871073	0	250	10	175	0	55	0	0	55	
1001171	171	2:876351	0	0	0	175	55	0	111	0	0	
1001172	172	2:881426	0	0	0	175	0	56	0	0	56	
1001173	173	2:886501	0	0	0	175	56	0	112	0	0	
1001174	174	2:891576	0	0	0	175	0	56	0	0	56	
1001175	175	2:896651	0	0	0	180	57	0	114	0	0	
1001176	176	2:901929	0	0	0	180	0	57	0	0	57	
1001177	177	2:907004	0	0	0	180	57	0	115	0	0	
1001178	178	2:912079	0	0	0	180	0	58	0	0	58	
1001179	179	2:917154	0	0	0	180	58	0	116	0	0	
1001180	180	2:1054208	0	250	10	185	0	58	0	0	58	
1001181	181	2:1060008	0	0	0	185	58	0	117	0	0	
1001182	182	2:1065808	0	0	0	185	0	59	0	0	59	
1001183	183	2:1071608	0	0	0	185	59	0	119	0	0	
1001184	184	2:1077640	0	0	0	185	0	59	0	0	59	
1001185	185	2:1083440	0	0	0	190	60	0	120	0	0	
1001186	186	2:1089240	0	0	0	190	0	60	0	0	60	
1001187	187	2:1095040	0	0	0	190	60	0	121	0	0	
1001188	188	2:1101072	0	0	0	190	0	61	0	0	61	
1001189	189	2:1106872	0	0	0	190	61	0	122	0	0	
1001190	190	2:1112672	0	250	10	195	0	61	0	0	61	
1001191	191	2:1118472	0	0	0	195	62	0	124	0	0	
1001192	192	2:1124504	0	0	0	195	0	62	0	0	62	
1001193	193	2:1130304	0	0	0	195	62	0	125	0	0	
1001194	194	2:1136104	0	0	0	195	0	62	0	0	62	
1001195	195	2:1141904	0	0	0	200	63	0	126	0	0	
1001196	196	2:1147936	0	0	0	200	0	63	0	0	63	
1001197	197	2:1153736	0	0	0	200	63	0	127	0	0	
1001198	198	2:1159536	0	0	0	200	0	64	0	0	64	
1001199	199	2:1165336	0	0	0	200	64	0	129	0	0	
1001200	200	2:1317528	0	250	10	205	0	64	0	0	64	
1001201	201	2:1324314	0	0	0	205	65	0	130	0	0	
1001202	202	2:1330839	0	0	0	205	0	65	0	0	65	
1001203	203	2:1337364	0	0	0	205	65	0	131	0	0	
1001204	204	2:1343889	0	0	0	205	0	66	0	0	66	
1001205	205	2:1350675	0	0	0	210	66	0	132	0	0	
1001206	206	2:1357200	0	0	0	210	0	66	0	0	66	
1001207	207	2:1363725	0	0	0	210	66	0	133	0	0	
1001208	208	2:1370250	0	0	0	210	0	67	0	0	67	
1001209	209	2:1377036	0	0	0	210	67	0	135	0	0	
1001210	210	2:1383561	0	250	10	215	0	67	0	0	67	
1001211	211	2:1390086	0	0	0	215	68	0	136	0	0	
1001212	212	2:1396611	0	0	0	215	0	68	0	0	68	
1001213	213	2:1403397	0	0	0	215	68	0	137	0	0	
1001214	214	2:1409922	0	0	0	215	0	69	0	0	69	
1001215	215	2:1416447	0	0	0	220	69	0	138	0	0	
1001216	216	2:1422972	0	0	0	220	0	69	0	0	69	
1001217	217	2:1429758	0	0	0	220	70	0	140	0	0	
1001218	218	2:1436283	0	0	0	220	0	70	0	0	70	
1001219	219	2:1442808	0	0	0	220	70	0	141	0	0	
1001220	220	2:1610370	0	250	10	225	0	70	0	0	70	
1001221	221	2:1617910	0	0	0	225	71	0	142	0	0	
1001222	222	2:1625160	0	0	0	225	0	71	0	0	71	
1001223	223	2:1632410	0	0	0	225	71	0	143	0	0	
1001224	224	2:1639660	0	0	0	225	0	72	0	0	72	
1001225	225	2:1646910	0	0	0	230	72	0	145	0	0	
1001226	226	2:1654450	0	0	0	230	0	72	0	0	72	
1001227	227	2:1661700	0	0	0	230	73	0	146	0	0	
1001228	228	2:1668950	0	0	0	230	0	73	0	0	73	
1001229	229	2:1676200	0	0	0	230	73	0	147	0	0	
1001230	230	2:1683740	0	250	10	235	0	74	0	0	74	
1001231	231	2:1690990	0	0	0	235	74	0	148	0	0	
1001232	232	2:1698240	0	0	0	235	0	74	0	0	74	
1001233	233	2:1705490	0	0	0	235	75	0	150	0	0	
1001234	234	2:1713030	0	0	0	235	0	75	0	0	75	
1001235	235	2:1720280	0	0	0	240	75	0	151	0	0	
1001236	236	2:1727530	0	0	0	240	0	75	0	0	75	
1001237	237	2:1734780	0	0	0	240	76	0	152	0	0	
1001238	238	2:1742320	0	0	0	240	0	76	0	0	76	
1001239	239	2:1749570	0	0	0	240	76	0	153	0	0	
1001240	240	2:1932502	0	250	10	245	0	77	0	0	77	
1001241	241	2:1940477	0	0	0	245	77	0	154	0	0	
1001242	242	2:1948771	0	0	0	245	0	77	0	0	77	
1001243	243	2:1956746	0	0	0	245	78	0	156	0	0	
1001244	244	2:1964721	0	0	0	245	0	78	0	0	78	
1001245	245	2:1972696	0	0	0	250	78	0	157	0	0	
1001246	246	2:1980990	0	0	0	250	0	79	0	0	79	
1001247	247	2:1988965	0	0	0	250	79	0	158	0	0	
1001248	248	2:1996940	0	0	0	250	0	79	0	0	79	
1001249	249	2:2004915	0	0	0	250	79	0	159	0	0	
1001250	250	2:2012890	0	250	10	255	0	80	0	0	80	
1001251	251	2:2021184	0	0	0	255	80	0	161	0	0	
1001252	252	2:2029159	0	0	0	255	0	80	0	0	80	
1001253	253	2:2037134	0	0	0	255	81	0	162	0	0	
1001254	254	2:2045109	0	0	0	255	0	81	0	0	81	
1001255	255	2:2053403	0	0	0	260	81	0	163	0	0	
1001256	256	2:2061378	0	0	0	260	0	82	0	0	82	
1001257	257	2:2069353	0	0	0	260	82	0	164	0	0	
1001258	258	2:2077328	0	0	0	260	0	82	0	0	82	
1001259	259	2:2085622	0	0	0	260	83	0	166	0	0	
1001260	260	2:2283924	0	250	10	265	0	83	0	0	83	
1001261	261	2:2292624	0	0	0	265	83	0	167	0	0	
1001262	262	2:2301324	0	0	0	265	0	83	0	0	83	
1001263	263	2:2310372	0	0	0	265	84	0	168	0	0	
1001264	264	2:2319072	0	0	0	265	0	84	0	0	84	
1001265	265	2:2327772	0	0	0	270	84	0	169	0	0	
1001266	266	2:2336472	0	0	0	270	0	85	0	0	85	
1001267	267	2:2345520	0	0	0	270	85	0	170	0	0	
1001268	268	2:2354220	0	0	0	270	0	85	0	0	85	
1001269	269	2:2362920	0	0	0	270	86	0	172	0	0	
1001270	270	2:2371620	0	250	10	275	0	86	0	0	86	
1001271	271	2:2380668	0	0	0	275	86	0	173	0	0	
1001272	272	2:2389368	0	0	0	275	0	87	0	0	87	
1001273	273	2:2398068	0	0	0	275	87	0	174	0	0	
1001274	274	2:2406768	0	0	0	275	0	87	0	0	87	
1001275	275	2:2415468	0	0	0	280	87	0	175	0	0	
1001276	276	2:2424516	0	0	0	280	0	88	0	0	88	
1001277	277	2:2433216	0	0	0	280	88	0	177	0	0	
1001278	278	2:2441916	0	0	0	280	0	88	0	0	88	
1001279	279	2:2450616	0	0	0	280	89	0	178	0	0	
1001280	280	2:2664636	0	250	10	285	0	89	0	0	89	
1001281	281	2:2674061	0	0	0	285	89	0	179	0	0	
1001282	282	2:2683486	0	0	0	285	0	90	0	0	90	
1001283	283	2:2692911	0	0	0	285	90	0	180	0	0	
1001284	284	2:2702713	0	0	0	285	0	90	0	0	90	
1001285	285	2:2712138	0	0	0	290	91	0	182	0	0	
1001286	286	2:2721563	0	0	0	290	0	91	0	0	91	
1001287	287	2:2730988	0	0	0	290	91	0	183	0	0	
1001288	288	2:2740790	0	0	0	290	0	91	0	0	91	
1001289	289	2:2750215	0	0	0	290	92	0	184	0	0	
1001290	290	2:2759640	0	250	10	295	0	92	0	0	92	
1001291	291	2:2769065	0	0	0	295	92	0	185	0	0	
1001292	292	2:2778867	0	0	0	295	0	93	0	0	93	
1001293	293	2:2788292	0	0	0	295	93	0	187	0	0	
1001294	294	2:2797717	0	0	0	295	0	93	0	0	93	
1001295	295	2:2807142	0	0	0	300	94	0	188	0	0	
1001296	296	2:2816944	0	0	0	300	0	94	0	0	94	
1001297	297	2:2826369	0	0	0	300	94	0	189	0	0	
1001298	298	2:2835794	0	0	0	300	0	95	0	0	95	
1001299	299	2:2845219	0	0	0	300	95	0	190	0	0	
1001300	300	2:3074232	0	250	10	305	0	95	0	0	95	
1001301	301	2:3084788	0	0	0	305	95	0	191	0	0	
1001302	302	2:3094938	0	0	0	305	0	96	0	0	96	
1001303	303	2:3105088	0	0	0	305	96	0	193	0	0	
1001304	304	2:3115238	0	0	0	305	0	96	0	0	96	
1001305	305	2:3125794	0	0	0	310	97	0	194	0	0	
1001306	306	2:3135944	0	0	0	310	0	97	0	0	97	
1001307	307	2:3146094	0	0	0	310	97	0	195	0	0	
1001308	308	2:3156244	0	0	0	310	0	98	0	0	98	
1001309	309	2:3166800	0	0	0	310	98	0	196	0	0	
1001310	310	2:3176950	0	250	10	315	0	98	0	0	98	
1001311	311	2:3187100	0	0	0	315	99	0	198	0	0	
1001312	312	2:3197250	0	0	0	315	0	99	0	0	99	
1001313	313	2:3207806	0	0	0	315	99	0	199	0	0	
1001314	314	2:3217956	0	0	0	315	0	100	0	0	100	
1001315	315	2:3228106	0	0	0	320	100	0	200	0	0	
1001316	316	2:3238256	0	0	0	320	0	100	0	0	100	
1001317	317	2:3248812	0	0	0	320	100	0	201	0	0	
1001318	318	2:3258962	0	0	0	320	0	101	0	0	101	
1001319	319	2:3269112	0	0	0	320	101	0	203	0	0	
1001320	320	2:3513495	0	250	10	325	0	101	0	0	101	
1001321	321	2:3524805	0	0	0	325	102	0	204	0	0	
1001322	322	2:3535680	0	0	0	325	0	102	0	0	102	
1001323	323	2:3546555	0	0	0	325	102	0	205	0	0	
1001324	324	2:3557430	0	0	0	325	0	103	0	0	103	
1001325	325	2:3568305	0	0	0	330	103	0	206	0	0	
1001326	326	2:3579615	0	0	0	330	0	103	0	0	103	
1001327	327	2:3590490	0	0	0	330	104	0	208	0	0	
1001328	328	2:3601365	0	0	0	330	0	104	0	0	104	
1001329	329	2:3612240	0	0	0	330	104	0	209	0	0	
1001330	330	2:3623550	0	250	10	335	0	104	0	0	104	
1001331	331	2:3634425	0	0	0	335	105	0	210	0	0	
1001332	332	2:3645300	0	0	0	335	0	105	0	0	105	
1001333	333	2:3656175	0	0	0	335	105	0	211	0	0	
1001334	334	2:3667485	0	0	0	335	0	106	0	0	106	
1001335	335	2:3678360	0	0	0	340	106	0	212	0	0	
1001336	336	2:3689235	0	0	0	340	0	106	0	0	106	
1001337	337	2:3700110	0	0	0	340	107	0	214	0	0	
1001338	338	2:3711420	0	0	0	340	0	107	0	0	107	
1001339	339	2:3722295	0	0	0	340	107	0	215	0	0	
1001340	340	2:3982048	0	250	10	345	0	108	0	0	108	
1001341	341	2:3993648	0	0	0	345	108	0	216	0	0	
1001342	342	2:4005712	0	0	0	345	0	108	0	0	108	
1001343	343	2:4017312	0	0	0	345	108	0	217	0	0	
1001344	344	2:4028912	0	0	0	345	0	109	0	0	109	
1001345	345	2:4040512	0	0	0	350	109	0	219	0	0	
1001346	346	2:4052576	0	0	0	350	0	109	0	0	109	
1001347	347	2:4064176	0	0	0	350	110	0	220	0	0	
1001348	348	2:4075776	0	0	0	350	0	110	0	0	110	
1001349	349	2:4087376	0	0	0	350	110	0	221	0	0	
1001350	350	2:4098976	0	250	10	355	0	111	0	0	111	
1001351	351	2:4111040	0	0	0	355	111	0	222	0	0	
1001352	352	2:4122640	0	0	0	355	0	111	0	0	111	
1001353	353	2:4134240	0	0	0	355	112	0	224	0	0	
1001354	354	2:4145840	0	0	0	355	0	112	0	0	112	
1001355	355	2:4157904	0	0	0	360	112	0	225	0	0	
1001356	356	2:4169504	0	0	0	360	0	112	0	0	112	
1001357	357	2:4181104	0	0	0	360	113	0	226	0	0	
1001358	358	2:4192704	0	0	0	360	0	113	0	0	113	
1001359	359	2:4204768	0	0	0	360	113	0	227	0	0	
1001360	360	2:4479891	0	250	10	360	0	113	0	0	113	
1002001	1	2:260	1	0	0	5	3	0	3	0	0	
1002002	2	2:510	1	0	0	5	0	7	0	0	3	
1002003	3	2:760	1	0	0	5	4	0	4	0	0	
1002004	4	2:1010	1	0	0	5	0	8	0	0	4	
1002005	5	2:1270	1	0	0	10	4	0	4	0	0	
1002006	6	2:1520	1	0	0	10	0	9	0	0	4	
1002007	7	2:1770	1	0	0	10	5	0	5	0	0	
1002008	8	2:2020	1	0	0	10	0	11	0	0	5	
1002009	9	2:2280	1	0	0	10	5	0	5	0	0	
1002010	10	2:2530	1	250	10	15	0	12	0	0	6	
1002011	11	2:2780	1	0	0	15	6	0	6	0	0	
1002012	12	2:3030	1	0	0	15	0	13	0	0	6	
1002013	13	2:3290	1	0	0	15	7	0	7	0	0	
1002014	14	2:3540	1	0	0	15	0	14	0	0	7	
1002015	15	2:3790	1	0	0	20	7	0	7	0	0	
1002016	16	2:4040	1	0	0	20	0	16	0	0	8	
1002017	17	2:4300	1	0	0	20	8	0	8	0	0	
1002018	18	2:4550	1	0	0	20	0	17	0	0	8	
1002019	19	2:4800	1	0	0	20	8	0	8	0	0	
1002020	20	2:5050	1	250	10	25	0	18	0	0	9	
1002021	21	2:5310	1	0	0	25	9	0	9	0	0	
1002022	22	2:5560	1	0	0	25	0	19	0	0	9	
1002023	23	2:5810	1	0	0	25	10	0	10	0	0	
1002024	24	2:6060	1	0	0	25	0	20	0	0	10	
1002025	25	2:6310	1	0	0	30	10	0	10	0	0	
1002026	26	2:6570	1	0	0	30	0	22	0	0	11	
1002027	27	2:6820	1	0	0	30	11	0	11	0	0	
1002028	28	2:7070	1	0	0	30	0	23	0	0	11	
1002029	29	2:7320	1	0	0	30	12	0	12	0	0	
1002030	30	2:21982	1	250	10	35	0	24	0	0	12	
1002031	31	2:22707	1	0	0	35	12	0	12	0	0	
1002032	32	2:23432	1	0	0	35	0	25	0	0	12	
1002033	33	2:24157	1	0	0	35	13	0	13	0	0	
1002034	34	2:24911	1	0	0	35	0	27	0	0	13	
1002035	35	2:25636	1	0	0	40	13	0	13	0	0	
1002036	36	2:26361	1	0	0	40	0	28	0	0	14	
1002037	37	2:27086	1	0	0	40	14	0	14	0	0	
1002038	38	2:27840	1	0	0	40	0	29	0	0	14	
1002039	39	2:28565	1	0	0	40	15	0	15	0	0	
1002040	40	2:29290	1	250	10	45	0	30	0	0	15	
1002041	41	2:30015	1	0	0	45	15	0	15	0	0	
1002042	42	2:30769	1	0	0	45	0	32	0	0	16	
1002043	43	2:31494	1	0	0	45	16	0	16	0	0	
1002044	44	2:32219	1	0	0	45	0	33	0	0	16	
1002045	45	2:32944	1	0	0	50	16	0	16	0	0	
1002046	46	2:33698	1	0	0	50	0	34	0	0	17	
1002047	47	2:34423	1	0	0	50	17	0	17	0	0	
1002048	48	2:35148	1	0	0	50	0	35	0	0	17	
1002049	49	2:35873	1	0	0	50	18	0	18	0	0	
1002050	50	2:36598	1	250	10	55	0	37	0	0	18	
1002051	51	2:37352	1	0	0	55	18	0	18	0	0	
1002052	52	2:38077	1	0	0	55	0	38	0	0	19	
1002053	53	2:38802	1	0	0	55	19	0	19	0	0	
1002054	54	2:39527	1	0	0	55	0	39	0	0	19	
1002055	55	2:40281	1	0	0	60	20	0	20	0	0	
1002056	56	2:41006	1	0	0	60	0	40	0	0	20	
1002057	57	2:41731	1	0	0	60	20	0	20	0	0	
1002058	58	2:42456	1	0	0	60	0	41	0	0	20	
1002059	59	2:43210	1	0	0	60	21	0	21	0	0	
1002060	60	2:87870	1	250	10	65	0	43	0	0	21	
1002061	61	2:89320	1	0	0	65	21	0	21	0	0	
1002062	62	2:90770	1	0	0	65	0	44	0	0	22	
1002063	63	2:92278	1	0	0	65	22	0	22	0	0	
1002064	64	2:93728	1	0	0	65	0	45	0	0	22	
1002065	65	2:95178	1	0	0	70	23	0	23	0	0	
1002066	66	2:96628	1	0	0	70	0	46	0	0	23	
1002067	67	2:98136	1	0	0	70	23	0	23	0	0	
1002068	68	2:99586	1	0	0	70	0	48	0	0	24	
1002069	69	2:101036	1	0	0	70	24	0	24	0	0	
1002070	70	2:102486	1	250	10	75	0	49	0	0	24	
1002071	71	2:103994	0	0	0	75	25	0	25	0	0	
1002072	72	2:105444	0	0	0	75	0	50	0	0	25	
1002073	73	2:106894	0	0	0	75	25	0	25	0	0	
1002074	74	2:108344	0	0	0	75	0	51	0	0	25	
1002075	75	2:109794	0	0	0	80	26	0	26	0	0	
1002076	76	2:111302	0	0	0	80	0	53	0	0	26	
1002077	77	2:112752	0	0	0	80	26	0	26	0	0	
1002078	78	2:114202	0	0	0	80	0	54	0	0	27	
1002079	79	2:115652	0	0	0	80	27	0	27	0	0	
1002080	80	2:175740	0	250	10	85	0	55	0	0	27	
1002081	81	2:177915	0	0	0	85	28	0	28	0	0	
1002082	82	2:180090	0	0	0	85	0	56	0	0	28	
1002083	83	2:182265	0	0	0	85	28	0	28	0	0	
1002084	84	2:184527	0	0	0	85	0	58	0	0	29	
1002085	85	2:186702	0	0	0	90	29	0	29	0	0	
1002086	86	2:188877	0	0	0	90	0	59	0	0	29	
1002087	87	2:191052	0	0	0	90	29	0	29	0	0	
1002088	88	2:193314	0	0	0	90	0	60	0	0	30	
1002089	89	2:195489	0	0	0	90	30	0	30	0	0	
1002090	90	2:197664	0	250	10	95	0	61	0	0	30	
1002091	91	2:199839	0	0	0	95	31	0	31	0	0	
1002092	92	2:202101	0	0	0	95	0	62	0	0	31	
1002093	93	2:204276	0	0	0	95	31	0	31	0	0	
1002094	94	2:206451	0	0	0	95	0	64	0	0	32	
