int	string	int	int	int[]	DTItemNum[]	DTItemNum	int[]	int	int	int	int	int	int	int	int	string[]	string[]
2003	城镇3档	4002	65	0	1:100;2:200	1;100	2003;3003	160	100	120	6009	8012	10015	12018	14021	启动资金50万;每日领取奖励礼包13	启动资金100万;每日领取奖励礼包14
2004	城镇4档	4002	70	0	1:100;2:200	1;100	2004;3004	160	100	120	6012	8016	10020	12024	14028	启动资金50万;每日领取奖励礼包14	启动资金100万;每日领取奖励礼包15
2005	城镇5档	4002	75	0	1:100;2:200	1;100	2005;3005	160	100	120	6015	8020	10025	12030	14035	启动资金50万;每日领取奖励礼包15	启动资金100万;每日领取奖励礼包16
2006	城镇6档	4002	80	0	1:100;2:200	1;100	2001;3001	160	100	130	6018	8024	10030	12036	14042	启动资金50万;每日领取奖励礼包16	启动资金100万;每日领取奖励礼包17
2007	城镇7档	4002	85	0	1:100;2:200	1;100	2002;3002	160	100	130	6021	8028	10035	12042	14049	启动资金50万;每日领取奖励礼包17	启动资金100万;每日领取奖励礼包18
2008	城镇8档	4002	90	0	1:100;2:200	1;100	2003;3003	160	100	130	6024	8032	10040	12048	14056	启动资金50万;每日领取奖励礼包18	启动资金100万;每日领取奖励礼包19
2009	城镇9档	4002	95	0	1:100;2:200	1;100	2004;3004	160	100	130	6027	8036	10045	12054	14063	启动资金50万;每日领取奖励礼包19	启动资金100万;每日领取奖励礼包20
2010	城镇10档	4002	100	0	1:100;2:200	1;100	2005;3005	160	100	130	6030	8040	10050	12060	14070	启动资金50万;每日领取奖励礼包20	启动资金100万;每日领取奖励礼包21
3001	州省1档	4003	105	0	1:100;2:200	1;100	2001;3001	170	100	130	9003	12004	15005	18006	21007	启动资金50万;每日领取奖励礼包21	启动资金100万;每日领取奖励礼包22
3002	州省2档	4003	110	0	1:100;2:200	1;100	2002;3002	170	100	130	9006	12008	15010	18012	21014	启动资金50万;每日领取奖励礼包22	启动资金100万;每日领取奖励礼包23
3003	州省3档	4003	115	0	1:100;2:200	1;100	2003;3003	170	100	130	9009	12012	15015	18018	21021	启动资金50万;每日领取奖励礼包23	启动资金100万;每日领取奖励礼包24
3004	州省4档	4003	120	0	1:100;2:200	1;100	2004;3004	170	100	130	9012	12016	15020	18024	21028	启动资金50万;每日领取奖励礼包24	启动资金100万;每日领取奖励礼包25
3005	州省5档	4003	125	0	1:100;2:200	1;100	2005;3005	170	100	130	9015	12020	15025	18030	21035	启动资金50万;每日领取奖励礼包25	启动资金100万;每日领取奖励礼包26
3006	州省6档	4003	130	0	1:100;2:200	1;100	2001;3001	170	100	130	9018	12024	15030	18036	21042	启动资金50万;每日领取奖励礼包26	启动资金100万;每日领取奖励礼包27
3007	州省7档	4003	135	0	1:100;2:200	1;100	2002;3002	170	100	130	9021	12028	15035	18042	21049	启动资金50万;每日领取奖励礼包27	启动资金100万;每日领取奖励礼包28
3008	州省8档	4003	140	0	1:100;2:200	1;100	2003;3003	170	100	130	9024	12032	15040	18048	21056	启动资金50万;每日领取奖励礼包28	启动资金100万;每日领取奖励礼包29
3009	州省9档	4003	145	0	1:100;2:200	1;100	2004;3004	170	100	130	9027	12036	15045	18054	21063	启动资金50万;每日领取奖励礼包29	启动资金100万;每日领取奖励礼包30
3010	州省10档	4003	150	0	1:100;2:200	1;100	2005;3005	170	100	130	9030	12040	15050	18060	21070	启动资金50万;每日领取奖励礼包30	启动资金100万;每日领取奖励礼包31
4001	全国1档	4004	155	0	1:100;2:200	1;100	2001;3001	180	100	130	12003	16004	20005	24006	28007	启动资金50万;每日领取奖励礼包31	启动资金100万;每日领取奖励礼包32
4002	全国2档	4004	160	0	1:100;2:200	1;100	2002;3002	180	100	130	12006	16008	20010	24012	28014	启动资金50万;每日领取奖励礼包32	启动资金100万;每日领取奖励礼包33
4003	全国3档	4004	165	0	1:100;2:200	1;100	2003;3003	180	100	130	12009	16012	20015	24018	28021	启动资金50万;每日领取奖励礼包33	启动资金100万;每日领取奖励礼包34
4004	全国4档	4004	170	0	1:100;2:200	1;100	2004;3004	180	100	130	12012	16016	20020	24024	28028	启动资金50万;每日领取奖励礼包34	启动资金100万;每日领取奖励礼包35
4005	全国5档	4004	175	0	1:100;2:200	1;100	2005;3005	180	100	130	12015	16020	20025	24030	28035	启动资金50万;每日领取奖励礼包35	启动资金100万;每日领取奖励礼包36
4006	全国6档	4004	180	0	1:100;2:200	1;100	2001;3001	180	100	130	12018	16024	20030	24036	28042	启动资金50万;每日领取奖励礼包36	启动资金100万;每日领取奖励礼包37
4007	全国7档	4004	185	0	1:100;2:200	1;100	2002;3002	180	100	130	12021	16028	20035	24042	28049	启动资金50万;每日领取奖励礼包37	启动资金100万;每日领取奖励礼包38
4008	全国8档	4004	190	0	1:100;2:200	1;100	2003;3003	180	100	130	12024	16032	20040	24048	28056	启动资金50万;每日领取奖励礼包38	启动资金100万;每日领取奖励礼包39
4009	全国9档	4004	195	0	1:100;2:200	1;100	2004;3004	180	100	130	12027	16036	20045	24054	28063	启动资金50万;每日领取奖励礼包39	启动资金100万;每日领取奖励礼包40
4010	全国10档	4004	200	0	1:100;2:200	1;100	2005;3005	180	100	130	12030	16040	20050	24060	28070	启动资金50万;每日领取奖励礼包40	启动资金100万;每日领取奖励礼包41
5001	世界1档	4005	205	0	1:100;2:200	1;100	2001;3001	190	100	130	15003	20004	25005	30006	35007	启动资金50万;每日领取奖励礼包41	启动资金100万;每日领取奖励礼包42
5002	世界2档	4005	210	0	1:100;2:200	1;100	2002;3002	190	100	130	15006	20008	25010	30012	35014	启动资金50万;每日领取奖励礼包42	启动资金100万;每日领取奖励礼包43
5003	世界3档	4005	215	0	1:100;2:200	1;100	2003;3003	190	100	130	15009	20012	25015	30018	35021	启动资金50万;每日领取奖励礼包43	启动资金100万;每日领取奖励礼包44
5004	世界4档	4005	220	0	1:100;2:200	1;100	2004;3004	190	100	130	15012	20016	25020	30024	35028	启动资金50万;每日领取奖励礼包44	启动资金100万;每日领取奖励礼包45
5005	世界5档	4005	225	0	1:100;2:200	1;100	2005;3005	190	100	130	15015	20020	25025	30030	35035	启动资金50万;每日领取奖励礼包45	启动资金100万;每日领取奖励礼包46
5006	世界6档	4005	230	0	1:100;2:200	1;100	2001;3001	190	100	130	15018	20024	25030	30036	35042	启动资金50万;每日领取奖励礼包46	启动资金100万;每日领取奖励礼包47
5007	世界7档	4005	235	0	1:100;2:200	1;100	2002;3002	190	100	130	15021	20028	25035	30042	35049	启动资金50万;每日领取奖励礼包47	启动资金100万;每日领取奖励礼包48
5008	世界8档	4005	240	0	1:100;2:200	1;100	2003;3003	190	100	130	15024	20032	25040	30048	35056	启动资金50万;每日领取奖励礼包48	启动资金100万;每日领取奖励礼包49
5009	世界9档	4005	245	0	1:100;2:200	1;100	2004;3004	190	100	130	15027	20036	25045	30054	35063	启动资金50万;每日领取奖励礼包49	启动资金100万;每日领取奖励礼包50
5010	世界10档	4005	250	0	1:100;2:200	1;100	2005;3005	190	100	130	15030	20040	25050	30060	35070	启动资金50万;每日领取奖励礼包50	启动资金100万;每日领取奖励礼包51
