int	int	string	int	string	int	int[]	int	DTItemNum[]	int	int[]	int[]	int
10034	4	超级大卖	6026	街区3档	5	100;50;25;12	20	7:12	5	4001;4002;4003;4004;4005;4006;4007	1;5	250
10035	5	传奇	6027	街区3档	6	100;50;25;12	25	7:12	6	4001;4002;4003;4004;4005;4006;4007	1;5	260
10036	6	神话	6028	街区3档	7	100;50;25;12	30	7:12	7	4001;4002;4003;4004;4005;4006;4007	1;5	270
10041	1	一般	6023	街区4档	2	100;50;25;12	5	7:12	2	4001;4002;4003;4004;4005;4006;4007	1;5	280
10042	2	良好	6024	街区4档	3	100;50;25;12	10	7:12	3	4001;4002;4003;4004;4005;4006;4007	1;5	290
10043	3	大卖	6025	街区4档	4	100;50;25;12	15	7:12	4	4001;4002;4003;4004;4005;4006;4007	1;5	300
10044	4	超级大卖	6026	街区4档	5	100;50;25;12	20	7:12	5	4001;4002;4003;4004;4005;4006;4007	1;5	310
10045	5	传奇	6027	街区4档	6	100;50;25;12	25	7:12	6	4001;4002;4003;4004;4005;4006;4007	1;5	320
10046	6	神话	6028	街区4档	7	100;50;25;12	30	7:12	7	4001;4002;4003;4004;4005;4006;4007	1;5	330
10051	1	一般	6023	街区5档	2	100;50;25;12	5	7:12	2	4001;4002;4003;4004;4005;4006;4007	1;5	340
10052	2	良好	6024	街区5档	3	100;50;25;12	10	7:12	3	4001;4002;4003;4004;4005;4006;4007	1;5	350
10053	3	大卖	6025	街区5档	4	100;50;25;12	15	7:12	4	4001;4002;4003;4004;4005;4006;4007	1;5	360
10054	4	超级大卖	6026	街区5档	5	100;50;25;12	20	7:12	5	4001;4002;4003;4004;4005;4006;4007	1;5	370
10055	5	传奇	6027	街区5档	6	100;50;25;12	25	7:12	6	4001;4002;4003;4004;4005;4006;4007	1;5	380
10056	6	神话	6028	街区5档	7	100;50;25;12	30	7:12	7	4001;4002;4003;4004;4005;4006;4007	1;5	390
10061	1	一般	6023	街区6档	2	100;50;25;12	5	7:12	2	4001;4002;4003;4004;4005;4006;4007	1;5	400
10062	2	良好	6024	街区6档	3	100;50;25;12	10	7:12	3	4001;4002;4003;4004;4005;4006;4007	1;5	410
10063	3	大卖	6025	街区6档	4	100;50;25;12	15	7:12	4	4001;4002;4003;4004;4005;4006;4007	1;5	420
10064	4	超级大卖	6026	街区6档	5	100;50;25;12	20	7:12	5	4001;4002;4003;4004;4005;4006;4007	1;5	430
10065	5	传奇	6027	街区6档	6	100;50;25;12	25	7:12	6	4001;4002;4003;4004;4005;4006;4007	1;5	440
10066	6	神话	6028	街区6档	7	100;50;25;12	30	7:12	7	4001;4002;4003;4004;4005;4006;4007	1;5	450
10071	1	一般	6023	街区7档	2	100;50;25;12	5	7:12	2	4001;4002;4003;4004;4005;4006;4007	1;5	460
10072	2	良好	6024	街区7档	3	100;50;25;12	10	7:12	3	4001;4002;4003;4004;4005;4006;4007	1;5	470
10073	3	大卖	6025	街区7档	4	100;50;25;12	15	7:12	4	4001;4002;4003;4004;4005;4006;4007	1;5	480
10074	4	超级大卖	6026	街区7档	5	100;50;25;12	20	7:12	5	4001;4002;4003;4004;4005;4006;4007	1;5	490
10075	5	传奇	6027	街区7档	6	100;50;25;12	25	7:12	6	4001;4002;4003;4004;4005;4006;4007	1;5	500
10076	6	神话	6028	街区7档	7	100;50;25;12	30	7:12	7	4001;4002;4003;4004;4005;4006;4007	1;5	510
10081	1	一般	6023	街区8档	2	100;50;25;12	5	7:12	2	4001;4002;4003;4004;4005;4006;4007	1;5	520
10082	2	良好	6024	街区8档	3	100;50;25;12	10	7:12	3	4001;4002;4003;4004;4005;4006;4007	1;5	530
10083	3	大卖	6025	街区8档	4	100;50;25;12	15	7:12	4	4001;4002;4003;4004;4005;4006;4007	1;5	540
10084	4	超级大卖	6026	街区8档	5	100;50;25;12	20	7:12	5	4001;4002;4003;4004;4005;4006;4007	1;5	550
10085	5	传奇	6027	街区8档	6	100;50;25;12	25	7:12	6	4001;4002;4003;4004;4005;4006;4007	1;5	560
10086	6	神话	6028	街区8档	7	100;50;25;12	30	7:12	7	4001;4002;4003;4004;4005;4006;4007	1;5	570
10091	1	一般	6023	街区9档	2	100;50;25;12	5	7:12	2	4001;4002;4003;4004;4005;4006;4007	1;5	580
10092	2	良好	6024	街区9档	3	100;50;25;12	10	7:12	3	4001;4002;4003;4004;4005;4006;4007	1;5	590
10093	3	大卖	6025	街区9档	4	100;50;25;12	15	7:12	4	4001;4002;4003;4004;4005;4006;4007	1;5	600
10094	4	超级大卖	6026	街区9档	5	100;50;25;12	20	7:12	5	4001;4002;4003;4004;4005;4006;4007	1;5	610
10095	5	传奇	6027	街区9档	6	100;50;25;12	25	7:12	6	4001;4002;4003;4004;4005;4006;4007	1;5	620
10096	6	神话	6028	街区9档	7	100;50;25;12	30	7:12	7	4001;4002;4003;4004;4005;4006;4007	1;5	630
10101	1	一般	6023	街区10档	2	100;50;25;12	5	7:12	2	4001;4002;4003;4004;4005;4006;4007	1;5	640
10102	2	良好	6024	街区10档	3	100;50;25;12	10	7:12	3	4001;4002;4003;4004;4005;4006;4007	1;5	650
10103	3	大卖	6025	街区10档	4	100;50;25;12	15	7:12	4	4001;4002;4003;4004;4005;4006;4007	1;5	660
10104	4	超级大卖	6026	街区10档	5	100;50;25;12	20	7:12	5	4001;4002;4003;4004;4005;4006;4007	1;5	670
10105	5	传奇	6027	街区10档	6	100;50;25;12	25	7:12	6	4001;4002;4003;4004;4005;4006;4007	1;5	680
10106	6	神话	6028	街区10档	7	100;50;25;12	30	7:12	7	4001;4002;4003;4004;4005;4006;4007	1;5	690
