int	string	string	int	int	int	int	int	int	int	int	int	int	int	int	DTActorSkill[]	DTActorStory[]	DTActorFeature[]	DTActorCharacter[]	int	DTItemNum	DTItemNum[]	DTItemNum	int	int	int	int	int	int	string	string
1018	布拉德皮特	布拉德皮特	2018	1305	1102	1201	1402	1502	1018	10	10	20	10	0	1001:31;1002:101;1003:201	1707:3:1603;1710:3:1603;1705:2:1603	1803:2:1603;1809:2:1601;1815:3:1601;1818:3:1602	1911:2:1602;1925:2:1602;1937:3:1602;1920:3:1601;1930:2:1603;1935:3:1602;1936:3:1603	1902	6:50000	7018:50;6101:2000	6:5000	100	0	50	100	30	100	0	布拉德·皮特（Brad Pitt），1963年12月18日出生于美国俄克拉何马州，美国电影演员、制片人。
1019	阿米尔汗	阿米尔汗	2019	1304	1102	1203	1402	1501	1019	8	16	8	0	8	1001:31;1002:101;1003:201	1704:2:1603;1709:1:1602	1812:2:1602;1818:2:1601;1805:1:1602;1819:1:1601	1908:1:1602;1924:2:1601;1922:2:1601;1916:2:1602;1941:1:1603	1902	6:15000	7019:40;6101:2000	6:1500	100	0	40	100	30	100	0	阿米尔·汗（Aamir Khan），1965年3月14日出生于印度孟买，印度宝莱坞演员、导演、制片人 [1]  。
1020	本阿弗莱克	本阿弗莱克	2020	1304	1102	1201	1402	1502	1020	8	8	16	8	0	1001:31;1002:101;1003:201	1708:2:1601;1707:2:1603	1801:1:1601;1808:2:1601;1807:2:1602;1814:1:1601	1926:2:1601;1913:2:1601;1909:2:1603;1934:1:1603;1910:1:1601	1902	6:15000	7020:40;6101:2000	6:1500	100	0	40	100	30	100	0	本·阿弗莱克，1972年8月15日年出生于美国加州，演员、导演、编剧、制片人。
1021	凯拉奈特莉	凯拉奈特莉	2021	1304	1101	1202	1401	1501	1021	16	8	8	0	8	1001:31;1002:101;1003:201	1703:1:1601;1709:2:1601	1819:1:1602;1805:1:1603;1802:1:1601;1811:2:1603	1918:2:1602;1926:1:1603;1902:2:1602;1909:2:1601;1940:1:1603	1902	6:15000	7021:40;6101:2000	6:1500	100	0	40	100	30	100	0	凯拉·奈特莉（Keira Knightley），1985年3月26日出生于英国密德塞克斯郡，英国女演员。
1022	布莱德利库珀	布莱德利库珀	2022	1303	1102	1201	1402	1502	1022	6	12	6	6	0	1001:31;1002:101;1003:201	1708:2:1602;1704:1:1602	1804:2:1602;1813:2:1603;1809:1:1602	1943:2:1603;1940:2:1603;1933:2:1601;1902:2:1601	1902	6:2000	7022:30;6101:2000	6:200	100	0	30	100	30	100	0	布莱德利·库珀（Bradley Cooper），1975年出生于美国宾夕法尼亚州费城，美国影视演员。
1023	杰森斯坦森	杰森斯坦森	2023	1303	1102	1202	1401	1502	1023	12	6	6	0	6	1001:31;1002:101;1003:201	1707:1:1603;1708:2:1601	1809:1:1603;1817:1:1602;1818:1:1601	1934:2:1603;1911:1:1602;1924:2:1601;1925:2:1601	1902	6:2000	7023:30;6101:2000	6:200	100	0	30	100	30	100	0	杰森·斯坦森（Jason Statham），1967年7月26日出生于英国伦敦，英国影视男演员。
1024	米拉乔沃维奇	米拉乔沃维奇	2024	1303	1101	1201	1402	1501	1024	6	6	12	6	0	1001:31;1002:101;1003:201	1710:2:1601;1702:1:1601	1807:1:1601;1817:1:1602;1811:2:1602	1926:2:1603;1932:2:1603;1919:1:1601;1938:2:1603	1902	6:2000	7024:30;6101:2000	6:200	100	0	30	100	30	100	0	米拉·乔沃维奇（Milla Jovovich），1975年12月17日出生于乌克兰，美国影视演员。
1025	泰伊谢里丹	泰伊谢里丹	2025	1302	1102	1201	1402	1501	1025	10	5	5	0	5	1001:31;1002:101;1003:201	1702:1:1602	1814:1:1603;1818:1:1603;1811:2:1601	1908:1:1601;1902:2:1603;1924:2:1603	1902	6:1000	7025:20;6101:2000	6:100	100	0	20	100	30	100	0	泰伊·谢里丹（Tye Sheridan），1996年11月11日出生于美国德克萨斯州埃尔克哈特，美国演员 [1]  。
1026	莎拉保罗森	莎拉保罗森	2026	1302	1101	1201	1402	1502	1026	5	10	5	5	0	1001:31;1002:101;1003:201	1706:1:1603	1802:2:1603;1811:1:1603;1820:2:1603	1920:2:1603;1930:2:1601;1943:2:1602	1902	6:1000	7026:20;6101:2000	6:100	100	0	20	100	30	100	0	莎拉·保罗森（Sarah Paulson），1974年12月17日出生于美国佛罗里达州，美国影视演员。
1027	伊丽莎白莫斯	伊丽莎白莫斯	2027	1302	1101	1201	1402	1501	1027	5	5	10	5	0	1001:31;1002:101;1003:201	1704:1:1602	1815:1:1602;1803:1:1601;1819:1:1602	1912:1:1601;1909:1:1603;1920:1:1603	1902	6:1000	7027:20;6101:2000	6:100	100	0	20	100	30	100	0	伊丽莎白·莫斯（Elisabeth Moss），1982年7月24日出生于加利福尼亚州洛杉矶，美国女演员、制片人。
1028	哈利贝瑞	哈利贝瑞	2028	1302	1101	1201	1402	1501	1028	5	10	5	0	5	1001:31;1002:101;1003:201	1702:2:1603	1801:2:1603;1812:2:1603;1811:1:1603	1933:2:1603;1913:1:1601;1932:2:1603	1902	6:1000	7028:10;6101:2000	6:101	100	0	20	100	30	100	0	哈莉·贝瑞（Halle Berry），1966年出生于俄亥俄州克利夫兰，美国影视演员。
1029	杨紫琼	杨紫琼	2029	1302	1101	1203	1401	1502	1029	10	5	5	0	5	1001:31;1002:101;1003:201	1709:1:1602	1801:2:1603;1808:1:1601;1819:2:1603	1916:2:1601;1948:1:1602;1904:2:1601	1902	6:1000	7029:10;6101:2000	6:100	100	0	20	100	30	100	0	杨紫琼（Michelle Yeoh），1962年8月6日出生于马来西亚霹雳州怡保，祖籍中国福建，马来西亚籍华裔女演员、制片人，毕业于英国皇家舞蹈学院 [1]  。
1030	贾维尔巴登	贾维尔巴登	2030	1301	1102	1202	1401	1502	1030	4	8	4	4	0	1001:31;1002:101;1003:201	1706:2:1603	1808:2:1602;1802:1:1602	1918:2:1602;1920:2:1602	1902	6:500	7030:10;6101:2000	6:50	100	0	10	100	30	100	0	哈维尔·巴登（Javier Bardem），1969年3月1日出生于西班牙，西班牙演员、编剧、制片人。
