int	int	int	int	int	int	int	int	string
100101109	1	109	6305	75	4175	1602	15	
100101110	1	110	6305	75	4175	1602	15	
100101111	1	111	6305	85	4175	1602	15	
100101112	1	112	6305	85	4175	1602	15	
100101113	1	113	6305	85	4175	1602	15	
100101114	1	114	6305	85	4175	1602	15	
100101115	1	115	6305	85	4175	1602	15	
100101116	1	116	6305	85	4175	1602	15	
100101117	1	117	6305	85	4175	1602	15	
100101118	1	118	6305	85	4175	1602	15	
100101119	1	119	6305	85	4175	1602	15	
100101120	1	120	6305	85	4175	1602	15	
100101121	1	121	6305	85	4175	1602	15	
100101122	1	122	6305	85	4175	1602	15	
100101123	1	123	6305	85	4175	1602	15	
100101124	1	124	6305	85	4175	1602	15	
100101125	1	125	6305	85	4175	1602	15	
100101126	1	126	6305	85	4175	1602	15	
100101127	1	127	6305	85	4175	1602	15	
100101128	1	128	6305	85	4175	1602	15	
100101129	1	129	6305	85	4175	1602	15	
100101130	1	130	6305	85	4175	1602	15	
100101131	1	131	6305	85	4175	1602	15	
100101132	1	132	6305	85	4175	1602	15	
100101133	1	133	6305	85	4175	1602	15	
100101134	1	134	6305	85	4175	1602	15	
100101135	1	135	6305	85	4175	1602	15	
100101136	1	136	6305	85	4175	1602	15	
100101137	1	137	6305	85	4175	1602	15	
100101138	1	138	6305	85	4175	1602	15	
100101139	1	139	6305	85	4175	1602	15	
100101140	1	140	6305	85	4175	1602	15	
100101141	1	141	6305	90	4175	1602	15	
100101142	1	142	6305	90	4175	1602	15	
100101143	1	143	6305	90	4175	1602	15	
100101144	1	144	6305	90	4175	1602	15	
100101145	1	145	6305	90	4175	1602	15	
100101146	1	146	6305	90	4175	1602	15	
100101147	1	147	6305	90	4175	1602	15	
100101148	1	148	6305	90	4175	1602	15	
100101149	1	149	6305	90	4175	1602	15	
100101150	1	150	6305	90	4175	1602	15	
100102001	2	1	6109	10	1175	1601	15	
100102002	2	2	6109	10	1175	1601	15	
100102003	2	3	6109	10	1175	1601	15	
100102004	2	4	6109	10	1175	1601	15	
100102005	2	5	6109	10	1175	1601	15	
100102006	2	6	6109	15	1175	1601	15	
100102007	2	7	6109	15	1175	1601	15	
100102008	2	8	6109	15	1175	1601	15	
100102009	2	9	6109	15	1175	1601	15	
100102010	2	10	6109	15	1175	1601	15	
100102011	2	11	6109	25	1175	1601	15	
100102012	2	12	6109	25	1175	1601	15	
100102013	2	13	6109	25	1175	1601	15	
100102014	2	14	6109	25	1175	1601	15	
100102015	2	15	6109	25	1175	1601	15	
100102016	2	16	6109	25	1175	1601	15	
100102017	2	17	6109	25	1175	1601	15	
100102018	2	18	6109	25	1175	1601	15	
100102019	2	19	6109	25	1175	1601	15	
100102020	2	20	6109	25	1175	1601	15	
100102021	2	21	6109	25	1175	1601	15	
100102022	2	22	6109	25	1175	1601	15	
100102023	2	23	6109	25	1175	1601	15	
100102024	2	24	6109	25	1175	1601	15	
100102025	2	25	6109	25	1175	1601	15	
100102026	2	26	6109	25	1175	1601	15	
100102027	2	27	6109	25	1175	1601	15	
100102028	2	28	6109	25	1175	1601	15	
100102029	2	29	6109	25	1175	1601	15	
100102030	2	30	6109	25	1175	1601	15	
100102031	2	31	6109	25	1175	1601	15	
100102032	2	32	6109	25	1175	1601	15	
100102033	2	33	6109	25	1175	1601	15	
100102034	2	34	6109	25	1175	1601	15	
100102035	2	35	6109	25	1175	1601	15	
100102036	2	36	6109	25	1175	1601	15	
100102037	2	37	6109	25	1175	1601	15	
100102038	2	38	6109	25	1175	1601	15	
100102039	2	39	6109	25	1175	1601	15	
100102040	2	40	6109	25	1175	1601	15	
100102041	2	41	6109	30	1175	1601	15	
100102042	2	42	6109	30	1175	1601	15	
100102043	2	43	6109	30	1175	1601	15	
100102044	2	44	6109	30	1175	1601	15	
100102045	2	45	6109	30	1175	1601	15	
100102046	2	46	6109	30	1175	1601	15	
100102047	2	47	6109	30	1175	1601	15	
100102048	2	48	6109	30	1175	1601	15	
100102049	2	49	6109	30	1175	1601	15	
100102050	2	50	6109	30	1175	1601	15	
100102051	2	51	6209	40	2675	1601	15	
100102052	2	52	6209	40	2675	1601	15	
100102053	2	53	6209	40	2675	1601	15	
100102054	2	54	6209	40	2675	1601	15	
100102055	2	55	6209	40	2675	1601	15	
100102056	2	56	6209	45	2675	1601	15	
100102057	2	57	6209	45	2675	1601	15	
100102058	2	58	6209	45	2675	1601	15	
100102059	2	59	6209	45	2675	1601	15	
100102060	2	60	6209	45	2675	1601	15	
100102061	2	61	6209	55	2675	1601	15	
100102062	2	62	6209	55	2675	1601	15	
100102063	2	63	6209	55	2675	1601	15	
100102064	2	64	6209	55	2675	1601	15	
100102065	2	65	6209	55	2675	1601	15	
100102066	2	66	6209	55	2675	1601	15	
100102067	2	67	6209	55	2675	1601	15	
100102068	2	68	6209	55	2675	1601	15	
100102069	2	69	6209	55	2675	1601	15	
100102070	2	70	6209	55	2675	1601	15	
100102071	2	71	6209	55	2675	1601	15	
100102072	2	72	6209	55	2675	1601	15	
100102073	2	73	6209	55	2675	1601	15	
100102074	2	74	6209	55	2675	1601	15	
100102075	2	75	6209	55	2675	1601	15	
100102076	2	76	6209	55	2675	1601	15	
100102077	2	77	6209	55	2675	1601	15	
100102078	2	78	6209	55	2675	1601	15	
100102079	2	79	6209	55	2675	1601	15	
100102080	2	80	6209	55	2675	1601	15	
100102081	2	81	6209	55	2675	1601	15	
100102082	2	82	6209	55	2675	1601	15	
100102083	2	83	6209	55	2675	1601	15	
100102084	2	84	6209	55	2675	1601	15	
100102085	2	85	6209	55	2675	1601	15	
100102086	2	86	6209	55	2675	1601	15	
100102087	2	87	6209	55	2675	1601	15	
100102088	2	88	6209	55	2675	1601	15	
100102089	2	89	6209	55	2675	1601	15	
100102090	2	90	6209	55	2675	1601	15	
100102091	2	91	6209	60	2675	1601	15	
100102092	2	92	6209	60	2675	1601	15	
100102093	2	93	6209	60	2675	1601	15	
100102094	2	94	6209	60	2675	1601	15	
100102095	2	95	6209	60	2675	1601	15	
100102096	2	96	6209	60	2675	1601	15	
100102097	2	97	6209	60	2675	1601	15	
100102098	2	98	6209	60	2675	1601	15	
100102099	2	99	6209	60	2675	1601	15	
100102100	2	100	6209	60	2675	1601	15	
100102101	2	101	6309	70	4175	1601	15	
100102102	2	102	6309	70	4175	1601	15	
100102103	2	103	6309	70	4175	1601	15	
100102104	2	104	6309	70	4175	1601	15	
100102105	2	105	6309	70	4175	1601	15	
100102106	2	106	6309	75	4175	1601	15	
100102107	2	107	6309	75	4175	1601	15	
100102108	2	108	6309	75	4175	1601	15	
100102109	2	109	6309	75	4175	1601	15	
100102110	2	110	6309	75	4175	1601	15	
100102111	2	111	6309	85	4175	1601	15	
100102112	2	112	6309	85	4175	1601	15	
100102113	2	113	6309	85	4175	1601	15	
100102114	2	114	6309	85	4175	1601	15	
100102115	2	115	6309	85	4175	1601	15	
100102116	2	116	6309	85	4175	1601	15	
100102117	2	117	6309	85	4175	1601	15	
100102118	2	118	6309	85	4175	1601	15	
100102119	2	119	6309	85	4175	1601	15	
100102120	2	120	6309	85	4175	1601	15	
100102121	2	121	6309	85	4175	1601	15	
100102122	2	122	6309	85	4175	1601	15	
100102123	2	123	6309	85	4175	1601	15	
100102124	2	124	6309	85	4175	1601	15	
100102125	2	125	6309	85	4175	1601	15	
100102126	2	126	6309	85	4175	1601	15	
100102127	2	127	6309	85	4175	1601	15	
100102128	2	128	6309	85	4175	1601	15	
100102129	2	129	6309	85	4175	1601	15	
100102130	2	130	6309	85	4175	1601	15	
100102131	2	131	6309	85	4175	1601	15	
100102132	2	132	6309	85	4175	1601	15	
100102133	2	133	6309	85	4175	1601	15	
100102134	2	134	6309	85	4175	1601	15	
100102135	2	135	6309	85	4175	1601	15	
100102136	2	136	6309	85	4175	1601	15	
100102137	2	137	6309	85	4175	1601	15	
100102138	2	138	6309	85	4175	1601	15	
100102139	2	139	6309	85	4175	1601	15	
100102140	2	140	6309	85	4175	1601	15	
100102141	2	141	6309	90	4175	1601	15	
100102142	2	142	6309	90	4175	1601	15	
100102143	2	143	6309	90	4175	1601	15	
100102144	2	144	6309	90	4175	1601	15	
100102145	2	145	6309	90	4175	1601	15	
100102146	2	146	6309	90	4175	1601	15	
100102147	2	147	6309	90	4175	1601	15	
100102148	2	148	6309	90	4175	1601	15	
100102149	2	149	6309	90	4175	1601	15	
100102150	2	150	6309	90	4175	1601	15	
100103001	3	1	6108	10	1175	1603	15	
100103002	3	2	6108	10	1175	1603	15	
100103003	3	3	6108	10	1175	1603	15	
100103004	3	4	6108	10	1175	1603	15	
100103005	3	5	6108	10	1175	1603	15	
100103006	3	6	6108	15	1175	1603	15	
100103007	3	7	6108	15	1175	1603	15	
100103008	3	8	6108	15	1175	1603	15	
100103009	3	9	6108	15	1175	1603	15	
100103010	3	10	6108	15	1175	1603	15	
100103011	3	11	6108	25	1175	1603	15	
100103012	3	12	6108	25	1175	1603	15	
100103013	3	13	6108	25	1175	1603	15	
100103014	3	14	6108	25	1175	1603	15	
100103015	3	15	6108	25	1175	1603	15	
100103016	3	16	6108	25	1175	1603	15	
100103017	3	17	6108	25	1175	1603	15	
100103018	3	18	6108	25	1175	1603	15	
100103019	3	19	6108	25	1175	1603	15	
100103020	3	20	6108	25	1175	1603	15	
100103021	3	21	6108	25	1175	1603	15	
100103022	3	22	6108	25	1175	1603	15	
100103023	3	23	6108	25	1175	1603	15	
100103024	3	24	6108	25	1175	1603	15	
100103025	3	25	6108	25	1175	1603	15	
100103026	3	26	6108	25	1175	1603	15	
100103027	3	27	6108	25	1175	1603	15	
100103028	3	28	6108	25	1175	1603	15	
100103029	3	29	6108	25	1175	1603	15	
100103030	3	30	6108	25	1175	1603	15	
100103031	3	31	6108	25	1175	1603	15	
100103032	3	32	6108	25	1175	1603	15	
100103033	3	33	6108	25	1175	1603	15	
100103034	3	34	6108	25	1175	1603	15	
100103035	3	35	6108	25	1175	1603	15	
100103036	3	36	6108	25	1175	1603	15	
100103037	3	37	6108	25	1175	1603	15	
100103038	3	38	6108	25	1175	1603	15	
100103039	3	39	6108	25	1175	1603	15	
100103040	3	40	6108	25	1175	1603	15	
100103041	3	41	6108	30	1175	1603	15	
100103042	3	42	6108	30	1175	1603	15	
100103043	3	43	6108	30	1175	1603	15	
100103044	3	44	6108	30	1175	1603	15	
100103045	3	45	6108	30	1175	1603	15	
100103046	3	46	6108	30	1175	1603	15	
100103047	3	47	6108	30	1175	1603	15	
100103048	3	48	6108	30	1175	1603	15	
100103049	3	49	6108	30	1175	1603	15	
100103050	3	50	6108	30	1175	1603	15	
100103051	3	51	6208	40	2675	1603	15	
100103052	3	52	6208	40	2675	1603	15	
100103053	3	53	6208	40	2675	1603	15	
100103054	3	54	6208	40	2675	1603	15	
100103055	3	55	6208	40	2675	1603	15	
100103056	3	56	6208	45	2675	1603	15	
100103057	3	57	6208	45	2675	1603	15	
100103058	3	58	6208	45	2675	1603	15	
100103059	3	59	6208	45	2675	1603	15	
100103060	3	60	6208	45	2675	1603	15	
100103061	3	61	6208	55	2675	1603	15	
100103062	3	62	6208	55	2675	1603	15	
100103063	3	63	6208	55	2675	1603	15	
100103064	3	64	6208	55	2675	1603	15	
100103065	3	65	6208	55	2675	1603	15	
100103066	3	66	6208	55	2675	1603	15	
100103067	3	67	6208	55	2675	1603	15	
100103068	3	68	6208	55	2675	1603	15	
100103069	3	69	6208	55	2675	1603	15	
100103070	3	70	6208	55	2675	1603	15	
100103071	3	71	6208	55	2675	1603	15	
100103072	3	72	6208	55	2675	1603	15	
100103073	3	73	6208	55	2675	1603	15	
100103074	3	74	6208	55	2675	1603	15	
100103075	3	75	6208	55	2675	1603	15	
100103076	3	76	6208	55	2675	1603	15	
100103077	3	77	6208	55	2675	1603	15	
100103078	3	78	6208	55	2675	1603	15	
100103079	3	79	6208	55	2675	1603	15	
100103080	3	80	6208	55	2675	1603	15	
100103081	3	81	6208	55	2675	1603	15	
100103082	3	82	6208	55	2675	1603	15	
100103083	3	83	6208	55	2675	1603	15	
100103084	3	84	6208	55	2675	1603	15	
100103085	3	85	6208	55	2675	1603	15	
100103086	3	86	6208	55	2675	1603	15	
100103087	3	87	6208	55	2675	1603	15	
100103088	3	88	6208	55	2675	1603	15	
100103089	3	89	6208	55	2675	1603	15	
100103090	3	90	6208	55	2675	1603	15	
100103091	3	91	6208	60	2675	1603	15	
100103092	3	92	6208	60	2675	1603	15	
100103093	3	93	6208	60	2675	1603	15	
100103094	3	94	6208	60	2675	1603	15	
100103095	3	95	6208	60	2675	1603	15	
100103096	3	96	6208	60	2675	1603	15	
100103097	3	97	6208	60	2675	1603	15	
100103098	3	98	6208	60	2675	1603	15	
100103099	3	99	6208	60	2675	1603	15	
100103100	3	100	6208	60	2675	1603	15	
100103101	3	101	6308	70	4175	1603	15	
100103102	3	102	6308	70	4175	1603	15	
100103103	3	103	6308	70	4175	1603	15	
100103104	3	104	6308	70	4175	1603	15	
100103105	3	105	6308	70	4175	1603	15	
100103106	3	106	6308	75	4175	1603	15	
100103107	3	107	6308	75	4175	1603	15	
100103108	3	108	6308	75	4175	1603	15	
100103109	3	109	6308	75	4175	1603	15	
100103110	3	110	6308	75	4175	1603	15	
100103111	3	111	6308	85	4175	1603	15	
100103112	3	112	6308	85	4175	1603	15	
100103113	3	113	6308	85	4175	1603	15	
100103114	3	114	6308	85	4175	1603	15	
100103115	3	115	6308	85	4175	1603	15	
100103116	3	116	6308	85	4175	1603	15	
100103117	3	117	6308	85	4175	1603	15	
100103118	3	118	6308	85	4175	1603	15	
100103119	3	119	6308	85	4175	1603	15	
100103120	3	120	6308	85	4175	1603	15	
100103121	3	121	6308	85	4175	1603	15	
100103122	3	122	6308	85	4175	1603	15	
100103123	3	123	6308	85	4175	1603	15	
100103124	3	124	6308	85	4175	1603	15	
100103125	3	125	6308	85	4175	1603	15	
100103126	3	126	6308	85	4175	1603	15	
100103127	3	127	6308	85	4175	1603	15	
100103128	3	128	6308	85	4175	1603	15	
100103129	3	129	6308	85	4175	1603	15	
100103130	3	130	6308	85	4175	1603	15	
100103131	3	131	6308	85	4175	1603	15	
100103132	3	132	6308	85	4175	1603	15	
100103133	3	133	6308	85	4175	1603	15	
100103134	3	134	6308	85	4175	1603	15	
100103135	3	135	6308	85	4175	1603	15	
100103136	3	136	6308	85	4175	1603	15	
100103137	3	137	6308	85	4175	1603	15	
100103138	3	138	6308	85	4175	1603	15	
100103139	3	139	6308	85	4175	1603	15	
100103140	3	140	6308	85	4175	1603	15	
100103141	3	141	6308	90	4175	1603	15	
100103142	3	142	6308	90	4175	1603	15	
100103143	3	143	6308	90	4175	1603	15	
100103144	3	144	6308	90	4175	1603	15	
100103145	3	145	6308	90	4175	1603	15	
100103146	3	146	6308	90	4175	1603	15	
100103147	3	147	6308	90	4175	1603	15	
100103148	3	148	6308	90	4175	1603	15	
100103149	3	149	6308	90	4175	1603	15	
100103150	3	150	6308	90	4175	1603	15	
100104001	4	1	6107	10	1175	1602	15	
100104002	4	2	6107	10	1175	1602	15	
100104003	4	3	6107	10	1175	1602	15	
100104004	4	4	6107	10	1175	1602	15	
100104005	4	5	6107	10	1175	1602	15	
100104006	4	6	6107	15	1175	1602	15	
100104007	4	7	6107	15	1175	1602	15	
100104008	4	8	6107	15	1175	1602	15	
100104009	4	9	6107	15	1175	1602	15	
100104010	4	10	6107	15	1175	1602	15	
100104011	4	11	6107	25	1175	1602	15	
100104012	4	12	6107	25	1175	1602	15	
100104013	4	13	6107	25	1175	1602	15	
100104014	4	14	6107	25	1175	1602	15	
100104015	4	15	6107	25	1175	1602	15	
100104016	4	16	6107	25	1175	1602	15	
100104017	4	17	6107	25	1175	1602	15	
100104018	4	18	6107	25	1175	1602	15	
100104019	4	19	6107	25	1175	1602	15	
100104020	4	20	6107	25	1175	1602	15	
100104021	4	21	6107	25	1175	1602	15	
100104022	4	22	6107	25	1175	1602	15	
100104023	4	23	6107	25	1175	1602	15	
100104024	4	24	6107	25	1175	1602	15	
100104025	4	25	6107	25	1175	1602	15	
100104026	4	26	6107	25	1175	1602	15	
100104027	4	27	6107	25	1175	1602	15	
100104028	4	28	6107	25	1175	1602	15	
100104029	4	29	6107	25	1175	1602	15	
100104030	4	30	6107	25	1175	1602	15	
100104031	4	31	6107	25	1175	1602	15	
100104032	4	32	6107	25	1175	1602	15	
100104033	4	33	6107	25	1175	1602	15	
100104034	4	34	6107	25	1175	1602	15	
100104035	4	35	6107	25	1175	1602	15	
100104036	4	36	6107	25	1175	1602	15	
100104037	4	37	6107	25	1175	1602	15	
100104038	4	38	6107	25	1175	1602	15	
100104039	4	39	6107	25	1175	1602	15	
100104040	4	40	6107	25	1175	1602	15	
100104041	4	41	6107	30	1175	1602	15	
100104042	4	42	6107	30	1175	1602	15	
100104043	4	43	6107	30	1175	1602	15	
100104044	4	44	6107	30	1175	1602	15	
100104045	4	45	6107	30	1175	1602	15	
100104046	4	46	6107	30	1175	1602	15	
100104047	4	47	6107	30	1175	1602	15	
100104048	4	48	6107	30	1175	1602	15	
100104049	4	49	6107	30	1175	1602	15	
100104050	4	50	6107	30	1175	1602	15	
100104051	4	51	6207	40	2675	1602	15	
100104052	4	52	6207	40	2675	1602	15	
100104053	4	53	6207	40	2675	1602	15	
100104054	4	54	6207	40	2675	1602	15	
100104055	4	55	6207	40	2675	1602	15	
100104056	4	56	6207	45	2675	1602	15	
100104057	4	57	6207	45	2675	1602	15	
100104058	4	58	6207	45	2675	1602	15	
100104059	4	59	6207	45	2675	1602	15	
100104060	4	60	6207	45	2675	1602	15	
100104061	4	61	6207	55	2675	1602	15	
100104062	4	62	6207	55	2675	1602	15	
100104063	4	63	6207	55	2675	1602	15	
100104064	4	64	6207	55	2675	1602	15	
100104065	4	65	6207	55	2675	1602	15	
100104066	4	66	6207	55	2675	1602	15	
100104067	4	67	6207	55	2675	1602	15	
100104068	4	68	6207	55	2675	1602	15	
100104069	4	69	6207	55	2675	1602	15	
100104070	4	70	6207	55	2675	1602	15	
100104071	4	71	6207	55	2675	1602	15	
100104072	4	72	6207	55	2675	1602	15	
100104073	4	73	6207	55	2675	1602	15	
100104074	4	74	6207	55	2675	1602	15	
100104075	4	75	6207	55	2675	1602	15	
100104076	4	76	6207	55	2675	1602	15	
100104077	4	77	6207	55	2675	1602	15	
100104078	4	78	6207	55	2675	1602	15	
100104079	4	79	6207	55	2675	1602	15	
100104080	4	80	6207	55	2675	1602	15	
100104081	4	81	6207	55	2675	1602	15	
100104082	4	82	6207	55	2675	1602	15	
100104083	4	83	6207	55	2675	1602	15	
100104084	4	84	6207	55	2675	1602	15	
100104085	4	85	6207	55	2675	1602	15	
100104086	4	86	6207	55	2675	1602	15	
100104087	4	87	6207	55	2675	1602	15	
100104088	4	88	6207	55	2675	1602	15	
100104089	4	89	6207	55	2675	1602	15	
100104090	4	90	6207	55	2675	1602	15	
100104091	4	91	6207	60	2675	1602	15	
100104092	4	92	6207	60	2675	1602	15	
100104093	4	93	6207	60	2675	1602	15	
100104094	4	94	6207	60	2675	1602	15	
100104095	4	95	6207	60	2675	1602	15	
100104096	4	96	6207	60	2675	1602	15	
100104097	4	97	6207	60	2675	1602	15	
100104098	4	98	6207	60	2675	1602	15	
100104099	4	99	6207	60	2675	1602	15	
100104100	4	100	6207	60	2675	1602	15	
100104101	4	101	6307	70	4175	1602	15	
100104102	4	102	6307	70	4175	1602	15	
100104103	4	103	6307	70	4175	1602	15	
100104104	4	104	6307	70	4175	1602	15	
100104105	4	105	6307	70	4175	1602	15	
100104106	4	106	6307	75	4175	1602	15	
100104107	4	107	6307	75	4175	1602	15	
100104108	4	108	6307	75	4175	1602	15	
100104109	4	109	6307	75	4175	1602	15	
100104110	4	110	6307	75	4175	1602	15	
100104111	4	111	6307	85	4175	1602	15	
100104112	4	112	6307	85	4175	1602	15	
100104113	4	113	6307	85	4175	1602	15	
100104114	4	114	6307	85	4175	1602	15	
100104115	4	115	6307	85	4175	1602	15	
100104116	4	116	6307	85	4175	1602	15	
100104117	4	117	6307	85	4175	1602	15	
100104118	4	118	6307	85	4175	1602	15	
100104119	4	119	6307	85	4175	1602	15	
100104120	4	120	6307	85	4175	1602	15	
100104121	4	121	6307	85	4175	1602	15	
100104122	4	122	6307	85	4175	1602	15	
100104123	4	123	6307	85	4175	1602	15	
100104124	4	124	6307	85	4175	1602	15	
100104125	4	125	6307	85	4175	1602	15	
100104126	4	126	6307	85	4175	1602	15	
100104127	4	127	6307	85	4175	1602	15	
100104128	4	128	6307	85	4175	1602	15	
100104129	4	129	6307	85	4175	1602	15	
100104130	4	130	6307	85	4175	1602	15	
100104131	4	131	6307	85	4175	1602	15	
100104132	4	132	6307	85	4175	1602	15	
100104133	4	133	6307	85	4175	1602	15	
100104134	4	134	6307	85	4175	1602	15	
100104135	4	135	6307	85	4175	1602	15	
100104136	4	136	6307	85	4175	1602	15	
100104137	4	137	6307	85	4175	1602	15	
100104138	4	138	6307	85	4175	1602	15	
100104139	4	139	6307	85	4175	1602	15	
100104140	4	140	6307	85	4175	1602	15	
100104141	4	141	6307	90	4175	1602	15	
100104142	4	142	6307	90	4175	1602	15	
100104143	4	143	6307	90	4175	1602	15	
100104144	4	144	6307	90	4175	1602	15	
100104145	4	145	6307	90	4175	1602	15	
100104146	4	146	6307	90	4175	1602	15	
100104147	4	147	6307	90	4175	1602	15	
100104148	4	148	6307	90	4175	1602	15	
100104149	4	149	6307	90	4175	1602	15	
100104150	4	150	6307	90	4175	1602	15	
100201001	1	1	6104	10	1175	1601	15	
100201002	1	2	6104	10	1175	1601	15	
100201003	1	3	6104	10	1175	1601	15	
100201004	1	4	6104	10	1175	1601	15	
100201005	1	5	6104	10	1175	1601	15	
100201006	1	6	6104	15	1175	1601	15	
100201007	1	7	6104	15	1175	1601	15	
100201008	1	8	6104	15	1175	1601	15	
100201009	1	9	6104	15	1175	1601	15	
100201010	1	10	6104	15	1175	1601	15	
100201011	1	11	6104	25	1175	1601	15	
100201012	1	12	6104	25	1175	1601	15	
100201013	1	13	6104	25	1175	1601	15	
100201014	1	14	6104	25	1175	1601	15	
100201015	1	15	6104	25	1175	1601	15	
100201016	1	16	6104	25	1175	1601	15	
100201017	1	17	6104	25	1175	1601	15	
100201018	1	18	6104	25	1175	1601	15	
100201019	1	19	6104	25	1175	1601	15	
100201020	1	20	6104	25	1175	1601	15	
100201021	1	21	6104	25	1175	1601	15	
100201022	1	22	6104	25	1175	1601	15	
100201023	1	23	6104	25	1175	1601	15	
100201024	1	24	6104	25	1175	1601	15	
100201025	1	25	6104	25	1175	1601	15	
100201026	1	26	6104	25	1175	1601	15	
100201027	1	27	6104	25	1175	1601	15	
100201028	1	28	6104	25	1175	1601	15	
100201029	1	29	6104	25	1175	1601	15	
100201030	1	30	6104	25	1175	1601	15	
