int	int	int	string	DTItemNum[]	int[]	DTRandomInterval[]	string	int	string
100102302	23	2	培养2	2:29050;5004:80	1602;1603;1605	4:14;7:28;4:14	拍电影	1001	
100102303	23	3	培养3	2:29050;5004:80	1601;1603;1605	4:14;7:28;4:14	拍电影	1001	
100102304	23	4	培养4	2:29050;5004:80	1601;1602;1605	4:14;4:14;4:14	拍电影	1001	
100102401	24	1	培养1	2:30300;5004:80	1601;1602;1603	4:14;4:14;7:28	拍电影	1001	
100102402	24	2	培养2	2:30300;5004:80	1602;1603;1605	4:14;7:28;4:14	拍电影	1001	
100102403	24	3	培养3	2:30300;5004:80	1601;1603;1605	4:14;7:28;4:14	拍电影	1001	
100102404	24	4	培养4	2:30300;5004:80	1601;1602;1605	4:14;4:14;4:14	拍电影	1001	
100102501	25	1	培养1	2:31550;5004:80	1601;1602;1603	4:14;4:14;7:28	拍电影	1001	
100102502	25	2	培养2	2:31550;5004:80	1602;1603;1605	4:14;7:28;4:14	拍电影	1001	
100102503	25	3	培养3	2:31550;5004:80	1601;1603;1605	4:14;7:28;4:14	拍电影	1001	
100102504	25	4	培养4	2:31550;5004:80	1601;1602;1605	4:14;4:14;4:14	拍电影	1001	
100102601	26	1	培养1	2:32850;5004:100	1601;1602;1603	5:17;5:17;9:34	拍电影	1001	
100102602	26	2	培养2	2:32850;5004:100	1602;1603;1605	5:17;9:34;5:17	拍电影	1001	
100102603	26	3	培养3	2:32850;5004:100	1601;1603;1605	5:17;9:34;5:17	拍电影	1001	
100102604	26	4	培养4	2:32850;5004:100	1601;1602;1605	5:17;5:17;5:17	拍电影	1001	
100102701	27	1	培养1	2:34100;5004:100	1601;1602;1603	5:17;5:17;9:34	拍电影	1001	
100102702	27	2	培养2	2:34100;5004:100	1602;1603;1605	5:17;9:34;5:17	拍电影	1001	
100102703	27	3	培养3	2:34100;5004:100	1601;1603;1605	5:17;9:34;5:17	拍电影	1001	
100102704	27	4	培养4	2:34100;5004:100	1601;1602;1605	5:17;5:17;5:17	拍电影	1001	
100102801	28	1	培养1	2:35350;5004:100	1601;1602;1603	5:17;5:17;9:34	拍电影	1001	
100102802	28	2	培养2	2:35350;5004:100	1602;1603;1605	5:17;9:34;5:17	拍电影	1001	
100102803	28	3	培养3	2:35350;5004:100	1601;1603;1605	5:17;9:34;5:17	拍电影	1001	
100102804	28	4	培养4	2:35350;5004:100	1601;1602;1605	5:17;5:17;5:17	拍电影	1001	
100102901	29	1	培养1	2:36600;5004:100	1601;1602;1603	5:17;5:17;9:33	拍电影	1001	
100102902	29	2	培养2	2:36600;5004:100	1602;1603;1605	5:17;9:33;5:17	拍电影	1001	
100102903	29	3	培养3	2:36600;5004:100	1601;1603;1605	5:17;9:33;5:17	拍电影	1001	
100102904	29	4	培养4	2:36600;5004:100	1601;1602;1605	5:17;5:17;5:17	拍电影	1001	
100103001	30	1	培养1	2:109910;5004:100	1601;1602;1603	5:17;5:17;9:33	拍电影	1001	
100103002	30	2	培养2	2:109910;5004:100	1602;1603;1605	5:17;9:33;5:17	拍电影	1001	
100103003	30	3	培养3	2:109910;5004:100	1601;1603;1605	5:17;9:33;5:17	拍电影	1001	
100103004	30	4	培养4	2:109910;5004:100	1601;1602;1605	5:17;5:17;5:17	拍电影	1001	
100103101	31	1	培养1	2:113535;5004:125	1601;1602;1603	5:20;5:20;10:39	拍电影	1001	
100103102	31	2	培养2	2:113535;5004:125	1602;1603;1605	5:20;10:39;5:20	拍电影	1001	
100103103	31	3	培养3	2:113535;5004:125	1601;1603;1605	5:20;10:39;5:20	拍电影	1001	
100103104	31	4	培养4	2:113535;5004:125	1601;1602;1605	5:20;5:20;5:20	拍电影	1001	
100103201	32	1	培养1	2:117160;5004:125	1601;1602;1603	5:20;5:20;10:39	拍电影	1001	
100103202	32	2	培养2	2:117160;5004:125	1602;1603;1605	5:20;10:39;5:20	拍电影	1001	
100103203	32	3	培养3	2:117160;5004:125	1601;1603;1605	5:20;10:39;5:20	拍电影	1001	
100103204	32	4	培养4	2:117160;5004:125	1601;1602;1605	5:20;5:20;5:20	拍电影	1001	
100103301	33	1	培养1	2:120785;5004:125	1601;1602;1603	5:20;5:20;10:39	拍电影	1001	
100103302	33	2	培养2	2:120785;5004:125	1602;1603;1605	5:20;10:39;5:20	拍电影	1001	
100103303	33	3	培养3	2:120785;5004:125	1601;1603;1605	5:20;10:39;5:20	拍电影	1001	
100103304	33	4	培养4	2:120785;5004:125	1601;1602;1605	5:20;5:20;5:20	拍电影	1001	
100103401	34	1	培养1	2:124555;5004:125	1601;1602;1603	5:20;5:20;10:39	拍电影	1001	
100103402	34	2	培养2	2:124555;5004:125	1602;1603;1605	5:20;10:39;5:20	拍电影	1001	
100103403	34	3	培养3	2:124555;5004:125	1601;1603;1605	5:20;10:39;5:20	拍电影	1001	
100103404	34	4	培养4	2:124555;5004:125	1601;1602;1605	5:20;5:20;5:20	拍电影	1001	
100103501	35	1	培养1	2:128180;5004:125	1601;1602;1603	5:20;5:20;10:39	拍电影	1001	
100103502	35	2	培养2	2:128180;5004:125	1602;1603;1605	5:20;10:39;5:20	拍电影	1001	
100103503	35	3	培养3	2:128180;5004:125	1601;1603;1605	5:20;10:39;5:20	拍电影	1001	
100103504	35	4	培养4	2:128180;5004:125	1601;1602;1605	5:20;5:20;5:20	拍电影	1001	
100103601	36	1	培养1	2:131805;5004:150	1601;1602;1603	6:23;6:23;12:45	拍电影	1001	
100103602	36	2	培养2	2:131805;5004:150	1602;1603;1605	6:23;12:45;6:23	拍电影	1001	
100103603	36	3	培养3	2:131805;5004:150	1601;1603;1605	6:23;12:45;6:23	拍电影	1001	
100103604	36	4	培养4	2:131805;5004:150	1601;1602;1605	6:23;6:23;6:23	拍电影	1001	
100103701	37	1	培养1	2:135430;5004:150	1601;1602;1603	6:23;6:23;12:45	拍电影	1001	
100103702	37	2	培养2	2:135430;5004:150	1602;1603;1605	6:23;12:45;6:23	拍电影	1001	
100103703	37	3	培养3	2:135430;5004:150	1601;1603;1605	6:23;12:45;6:23	拍电影	1001	
100103704	37	4	培养4	2:135430;5004:150	1601;1602;1605	6:23;6:23;6:23	拍电影	1001	
100103801	38	1	培养1	2:139200;5004:150	1601;1602;1603	6:23;6:23;12:45	拍电影	1001	
100103802	38	2	培养2	2:139200;5004:150	1602;1603;1605	6:23;12:45;6:23	拍电影	1001	
100103803	38	3	培养3	2:139200;5004:150	1601;1603;1605	6:23;12:45;6:23	拍电影	1001	
100103804	38	4	培养4	2:139200;5004:150	1601;1602;1605	6:23;6:23;6:23	拍电影	1001	
100103901	39	1	培养1	2:142825;5004:150	1601;1602;1603	6:23;6:23;12:45	拍电影	1001	
100103902	39	2	培养2	2:142825;5004:150	1602;1603;1605	6:23;12:45;6:23	拍电影	1001	
100103903	39	3	培养3	2:142825;5004:150	1601;1603;1605	6:23;12:45;6:23	拍电影	1001	
100103904	39	4	培养4	2:142825;5004:150	1601;1602;1605	6:23;6:23;6:23	拍电影	1001	
100104001	40	1	培养1	2:146450;5004:150	1601;1602;1603	6:23;6:23;12:45	拍电影	1001	
100104002	40	2	培养2	2:146450;5004:150	1602;1603;1605	6:23;12:45;6:23	拍电影	1001	
100104003	40	3	培养3	2:146450;5004:150	1601;1603;1605	6:23;12:45;6:23	拍电影	1001	
100104004	40	4	培养4	2:146450;5004:150	1601;1602;1605	6:23;6:23;6:23	拍电影	1001	
100104101	41	1	培养1	2:150075;5004:180	1601;1602;1603	7:25;7:25;13:51	拍电影	1001	
100104102	41	2	培养2	2:150075;5004:180	1602;1603;1605	7:25;13:51;7:25	拍电影	1001	
100104103	41	3	培养3	2:150075;5004:180	1601;1603;1605	7:25;13:51;7:25	拍电影	1001	
100104104	41	4	培养4	2:150075;5004:180	1601;1602;1605	7:25;7:25;7:25	拍电影	1001	
100104201	42	1	培养1	2:153845;5004:180	1601;1602;1603	7:25;7:25;13:51	拍电影	1001	
100104202	42	2	培养2	2:153845;5004:180	1602;1603;1605	7:25;13:51;7:25	拍电影	1001	
100104203	42	3	培养3	2:153845;5004:180	1601;1603;1605	7:25;13:51;7:25	拍电影	1001	
100104204	42	4	培养4	2:153845;5004:180	1601;1602;1605	7:25;7:25;7:25	拍电影	1001	
100104301	43	1	培养1	2:157470;5004:180	1601;1602;1603	7:25;7:25;13:51	拍电影	1001	
100104302	43	2	培养2	2:157470;5004:180	1602;1603;1605	7:25;13:51;7:25	拍电影	1001	
100104303	43	3	培养3	2:157470;5004:180	1601;1603;1605	7:25;13:51;7:25	拍电影	1001	
100104304	43	4	培养4	2:157470;5004:180	1601;1602;1605	7:25;7:25;7:25	拍电影	1001	
100104401	44	1	培养1	2:161095;5004:180	1601;1602;1603	7:25;7:25;13:51	拍电影	1001	
100104402	44	2	培养2	2:161095;5004:180	1602;1603;1605	7:25;13:51;7:25	拍电影	1001	
100104403	44	3	培养3	2:161095;5004:180	1601;1603;1605	7:25;13:51;7:25	拍电影	1001	
100104404	44	4	培养4	2:161095;5004:180	1601;1602;1605	7:25;7:25;7:25	拍电影	1001	
100104501	45	1	培养1	2:164720;5004:180	1601;1602;1603	7:25;7:25;13:51	拍电影	1001	
100104502	45	2	培养2	2:164720;5004:180	1602;1603;1605	7:25;13:51;7:25	拍电影	1001	
100104503	45	3	培养3	2:164720;5004:180	1601;1603;1605	7:25;13:51;7:25	拍电影	1001	
100104504	45	4	培养4	2:164720;5004:180	1601;1602;1605	7:25;7:25;7:25	拍电影	1001	
100104601	46	1	培养1	2:168490;5004:210	1601;1602;1603	7:28;7:28;14:56	拍电影	1001	
100104602	46	2	培养2	2:168490;5004:210	1602;1603;1605	7:28;14:56;7:28	拍电影	1001	
100104603	46	3	培养3	2:168490;5004:210	1601;1603;1605	7:28;14:56;7:28	拍电影	1001	
100104604	46	4	培养4	2:168490;5004:210	1601;1602;1605	7:28;7:28;7:28	拍电影	1001	
100104701	47	1	培养1	2:172115;5004:210	1601;1602;1603	7:28;7:28;14:56	拍电影	1001	
100104702	47	2	培养2	2:172115;5004:210	1602;1603;1605	7:28;14:56;7:28	拍电影	1001	
100104703	47	3	培养3	2:172115;5004:210	1601;1603;1605	7:28;14:56;7:28	拍电影	1001	
100104704	47	4	培养4	2:172115;5004:210	1601;1602;1605	7:28;7:28;7:28	拍电影	1001	
100104801	48	1	培养1	2:175740;5004:210	1601;1602;1603	7:28;7:28;14:56	拍电影	1001	
100104802	48	2	培养2	2:175740;5004:210	1602;1603;1605	7:28;14:56;7:28	拍电影	1001	
100104803	48	3	培养3	2:175740;5004:210	1601;1603;1605	7:28;14:56;7:28	拍电影	1001	
100104804	48	4	培养4	2:175740;5004:210	1601;1602;1605	7:28;7:28;7:28	拍电影	1001	
100104901	49	1	培养1	2:179365;5004:210	1601;1602;1603	7:28;7:28;14:56	拍电影	1001	
100104902	49	2	培养2	2:179365;5004:210	1602;1603;1605	7:28;14:56;7:28	拍电影	1001	
100104903	49	3	培养3	2:179365;5004:210	1601;1603;1605	7:28;14:56;7:28	拍电影	1001	
100104904	49	4	培养4	2:179365;5004:210	1601;1602;1605	7:28;7:28;7:28	拍电影	1001	
100105001	50	1	培养1	2:182990;5004:210	1601;1602;1603	7:28;7:28;14:56	拍电影	1001	
100105002	50	2	培养2	2:182990;5004:210	1602;1603;1605	7:28;14:56;7:28	拍电影	1001	
100105003	50	3	培养3	2:182990;5004:210	1601;1603;1605	7:28;14:56;7:28	拍电影	1001	
100105004	50	4	培养4	2:182990;5004:210	1601;1602;1605	7:28;7:28;7:28	拍电影	1001	
100105101	51	1	培养1	2:186760;5004:245	1601;1602;1603	8:31;8:31;16:62	拍电影	1001	
100105102	51	2	培养2	2:186760;5004:245	1602;1603;1605	8:31;16:62;8:31	拍电影	1001	
100105103	51	3	培养3	2:186760;5004:245	1601;1603;1605	8:31;16:62;8:31	拍电影	1001	
100105104	51	4	培养4	2:186760;5004:245	1601;1602;1605	8:31;8:31;8:31	拍电影	1001	
100105201	52	1	培养1	2:190385;5004:245	1601;1602;1603	8:31;8:31;16:62	拍电影	1001	
100105202	52	2	培养2	2:190385;5004:245	1602;1603;1605	8:31;16:62;8:31	拍电影	1001	
100105203	52	3	培养3	2:190385;5004:245	1601;1603;1605	8:31;16:62;8:31	拍电影	1001	
100105204	52	4	培养4	2:190385;5004:245	1601;1602;1605	8:31;8:31;8:31	拍电影	1001	
100105301	53	1	培养1	2:194010;5004:245	1601;1602;1603	8:31;8:31;16:62	拍电影	1001	
100105302	53	2	培养2	2:194010;5004:245	1602;1603;1605	8:31;16:62;8:31	拍电影	1001	
100105303	53	3	培养3	2:194010;5004:245	1601;1603;1605	8:31;16:62;8:31	拍电影	1001	
100105304	53	4	培养4	2:194010;5004:245	1601;1602;1605	8:31;8:31;8:31	拍电影	1001	
100105401	54	1	培养1	2:197635;5004:245	1601;1602;1603	8:31;8:31;16:62	拍电影	1001	
100105402	54	2	培养2	2:197635;5004:245	1602;1603;1605	8:31;16:62;8:31	拍电影	1001	
100105403	54	3	培养3	2:197635;5004:245	1601;1603;1605	8:31;16:62;8:31	拍电影	1001	
100105404	54	4	培养4	2:197635;5004:245	1601;1602;1605	8:31;8:31;8:31	拍电影	1001	
100105501	55	1	培养1	2:201405;5004:245	1601;1602;1603	8:31;8:31;16:62	拍电影	1001	
100105502	55	2	培养2	2:201405;5004:245	1602;1603;1605	8:31;16:62;8:31	拍电影	1001	
100105503	55	3	培养3	2:201405;5004:245	1601;1603;1605	8:31;16:62;8:31	拍电影	1001	
100105504	55	4	培养4	2:201405;5004:245	1601;1602;1605	8:31;8:31;8:31	拍电影	1001	
100105601	56	1	培养1	2:205030;5004:280	1601;1602;1603	9:34;9:34;17:68	拍电影	1001	
100105602	56	2	培养2	2:205030;5004:280	1602;1603;1605	9:34;17:68;9:34	拍电影	1001	
100105603	56	3	培养3	2:205030;5004:280	1601;1603;1605	9:34;17:68;9:34	拍电影	1001	
100105604	56	4	培养4	2:205030;5004:280	1601;1602;1605	9:34;9:34;9:34	拍电影	1001	
100105701	57	1	培养1	2:208655;5004:280	1601;1602;1603	9:34;9:34;17:67	拍电影	1001	
100105702	57	2	培养2	2:208655;5004:280	1602;1603;1605	9:34;17:67;9:34	拍电影	1001	
100105703	57	3	培养3	2:208655;5004:280	1601;1603;1605	9:34;17:67;9:34	拍电影	1001	
100105704	57	4	培养4	2:208655;5004:280	1601;1602;1605	9:34;9:34;9:34	拍电影	1001	
100105801	58	1	培养1	2:212280;5004:280	1601;1602;1603	9:34;9:34;17:67	拍电影	1001	
100105802	58	2	培养2	2:212280;5004:280	1602;1603;1605	9:34;17:67;9:34	拍电影	1001	
100105803	58	3	培养3	2:212280;5004:280	1601;1603;1605	9:34;17:67;9:34	拍电影	1001	
100105804	58	4	培养4	2:212280;5004:280	1601;1602;1605	9:34;9:34;9:34	拍电影	1001	
100105901	59	1	培养1	2:216050;5004:280	1601;1602;1603	9:34;9:34;17:67	拍电影	1001	
100105902	59	2	培养2	2:216050;5004:280	1602;1603;1605	9:34;17:67;9:34	拍电影	1001	
100105903	59	3	培养3	2:216050;5004:280	1601;1603;1605	9:34;17:67;9:34	拍电影	1001	
100105904	59	4	培养4	2:216050;5004:280	1601;1602;1605	9:34;9:34;9:34	拍电影	1001	
100106001	60	1	培养1	2:439350;5004:280	1601;1602;1603	9:34;9:34;17:67	拍电影	1001	
100106002	60	2	培养2	2:439350;5004:280	1602;1603;1605	9:34;17:67;9:34	拍电影	1001	
100106003	60	3	培养3	2:439350;5004:280	1601;1603;1605	9:34;17:67;9:34	拍电影	1001	
100106004	60	4	培养4	2:439350;5004:280	1601;1602;1605	9:34;9:34;9:34	拍电影	1001	
100106101	61	1	培养1	2:446600;5004:320	1601;1602;1603	9:36;9:36;19:73	拍电影	1001	
100106102	61	2	培养2	2:446600;5004:320	1602;1603;1605	9:36;19:73;9:36	拍电影	1001	
100106103	61	3	培养3	2:446600;5004:320	1601;1603;1605	9:36;19:73;9:36	拍电影	1001	
100106104	61	4	培养4	2:446600;5004:320	1601;1602;1605	9:36;9:36;9:36	拍电影	1001	
100106201	62	1	培养1	2:453850;5004:320	1601;1602;1603	9:36;9:36;19:73	拍电影	1001	
100106202	62	2	培养2	2:453850;5004:320	1602;1603;1605	9:36;19:73;9:36	拍电影	1001	
100106203	62	3	培养3	2:453850;5004:320	1601;1603;1605	9:36;19:73;9:36	拍电影	1001	
100106204	62	4	培养4	2:453850;5004:320	1601;1602;1605	9:36;9:36;9:36	拍电影	1001	
100106301	63	1	培养1	2:461390;5004:320	1601;1602;1603	9:36;9:36;19:73	拍电影	1001	
100106302	63	2	培养2	2:461390;5004:320	1602;1603;1605	9:36;19:73;9:36	拍电影	1001	
100106303	63	3	培养3	2:461390;5004:320	1601;1603;1605	9:36;19:73;9:36	拍电影	1001	
100106304	63	4	培养4	2:461390;5004:320	1601;1602;1605	9:36;9:36;9:36	拍电影	1001	
100106401	64	1	培养1	2:468640;5004:320	1601;1602;1603	9:36;9:36;19:73	拍电影	1001	
100106402	64	2	培养2	2:468640;5004:320	1602;1603;1605	9:36;19:73;9:36	拍电影	1001	
100106403	64	3	培养3	2:468640;5004:320	1601;1603;1605	9:36;19:73;9:36	拍电影	1001	
100106404	64	4	培养4	2:468640;5004:320	1601;1602;1605	9:36;9:36;9:36	拍电影	1001	
100106501	65	1	培养1	2:475890;5004:320	1601;1602;1603	9:36;9:36;19:73	拍电影	1001	
100106502	65	2	培养2	2:475890;5004:320	1602;1603;1605	9:36;19:73;9:36	拍电影	1001	
100106503	65	3	培养3	2:475890;5004:320	1601;1603;1605	9:36;19:73;9:36	拍电影	1001	
100106504	65	4	培养4	2:475890;5004:320	1601;1602;1605	9:36;9:36;9:36	拍电影	1001	
100106601	66	1	培养1	2:483140;5004:360	1601;1602;1603	10:39;10:39;20:78	拍电影	1001	
100106602	66	2	培养2	2:483140;5004:360	1602;1603;1605	10:39;20:78;10:39	拍电影	1001	
100106603	66	3	培养3	2:483140;5004:360	1601;1603;1605	10:39;20:78;10:39	拍电影	1001	
100106604	66	4	培养4	2:483140;5004:360	1601;1602;1605	10:39;10:39;10:39	拍电影	1001	
100106701	67	1	培养1	2:490680;5004:360	1601;1602;1603	10:39;10:39;20:78	拍电影	1001	
